股票代码,股票名称,D-0日期,D-5涨幅,D-5振幅,D-4~D-1区间涨幅,D-4~D-1区间振幅,D-4~D-1区间最大振幅,D-0振幅,D-0/D-5成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
300975,商络电子,2026-05-25,7.39,9.01,-4.36%,13.76%,10.66%,17.68,126.0%,0%/8%(阳),19%,37%,40%,50%,64%,62%
300991,创益通,2022-12-19,6.01,10.77,-5.2%,6.14%,3.76%,17.36,344.23%,-7%/-2%(阴),-3%,-4%,-9%,-9%,-4%,-6%
301016,雷尔伟,2023-07-07,1.88,7.06,2.44%,3.94%,3.43%,18.3,457.58%,2%/18%(阳),6%,23%,21%,11%,3%,-4%
301091,深城交,2022-12-05,3.48,14.6,-3.07%,9.79%,7.29%,15.59,159.84%,-11%/-2%(阴),-13%,-19%,-19%,-22%,-19%,-22%
301115,联检科技,2024-08-26,3.87,10.11,-10.87%,11.86%,5.55%,4.1,334.12%,13%/20%(板),30%,8%,4%,-1%,-4%,-4%
301135,瑞德智能,2025-02-27,2.44,3.72,1.05%,4.14%,2.92%,19.94,742.53%,-8%/10%(阴),-5%,-9%,-10%,-8%,-6%,-8%
301139,*ST元道,2025-02-24,2.91,7.74,2.75%,8.25%,5.65%,19.42,233.11%,0%/20%(阳),16%,10%,4%,-3%,-2%,16%(板)
301159,三维天地,2023-06-14,7.08,10.49,-6.15%,8.08%,4.24%,17.74,152.13%,-10%/-4%(阴),-9%,-12%,-13%,-11%,-13%,-11%
301160,翔楼新材,2024-09-30,4.64,7.07,7.36%,9.91%,7.2%,14.33,231.88%,16%/20%(板),40%,34%,19%,14%,13%,10%
301176,逸豪新材,2025-06-18,2.19,8.82,-0.23%,4.96%,4.92%,20.86,249.26%,11%/21%(板),32%,37%(板),40%,27%,25%,24%
301189,奥尼电子,2025-02-17,3.59,6.61,-1.22%,2.99%,2.25%,14.28,511.14%,-11%/0%(阴),-9%,-9%,-9%,-6%,-9%,-10%
301202,朗威股份,2024-03-11,6.61,16.62,1.63%,10.1%,10.61%,23.57,171.43%,-4%/4%(阴),12%,17%,33%(板),36%,31%,24%
301377,鼎泰高科,2023-06-01,1.03,5.48,2.37%,7.65%,5.95%,13.66,381.16%,-10%/-2%(阴),-12%,-13%,-13%,-14%,-12%,-6%
301421,波长光电,2024-10-08,1.96,14.63,22.54%,28.91%,17.58%,12.18,116.51%,-10%/10%(阳),-2%,-9%,-13%,5%,8%,-1%
301616,浙江华业,2025-08-06,0.23,3.25,1.06%,3.75%,3.58%,20.87,472.45%,-5%/9%(阴),-4%,6%,2%,2%,16%,25%
301629,矽电股份,2026-01-15,14.86,19.31,-5.66%,13.72%,10.44%,22.96,100.64%,2%/9%(阴),12%,7%,3%,3%,1%,-2%
