股票代码,股票名称,D-0日期,D-1涨幅,D-1振幅,D-0振幅,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
300858,科拓生物,2022-01-06,10.95,16.14,19.16,152.91%,-7%/10%(阴),-4%,-10%,-12%,-13%,-8%,-7%
300860,锋尚文化,2022-11-02,6.3,8.25,8.5,324.75%,-5%/2%(阳),9%,13%,14%,11%,9%,11%
300865,大宏立,2025-06-03,-1.03,5.78,17.82,350.42%,1%/15%(阳),13%,8%,14%,11%,20%,16%
300865,大宏立,2025-07-21,3.57,9.25,10.54,187.48%,7%/21%(板),44%,18%,8%,1%,2%,2%
300869,康泰医学,2025-07-25,3.98,4.31,16.65,406.74%,-4%/7%(阳),5%,14%,11%,8%,10%,9%
300871,回盛生物,2025-03-26,19.22,20.93,8.5,195.24%,12%/20%(板),43%,41%,54%(板),74%,99%,122%
300875,捷强装备,2024-10-08,15.36,16.66,16.67,141.61%,-15%/-4%(阴),-1%,-8%,0%,10%,8%,3%
300875,捷强装备,2025-08-06,5.7,9.79,21.83,134.03%,-5%/19%(阳),18%,18%,11%,13%,4%,-3%
300876,蒙泰高新,2024-05-16,5.61,11.44,20.86,196.75%,-6%/14%(阳),5%,-7%,-5%,-4%,-1%,3%
300877,金春股份,2025-07-23,1.4,3.72,19.04,473.3%,2%/21%(板),38%,27%,25%,46%(板),59%,56%
300878,维康药业,2025-07-17,3.29,5.03,19.24,362.73%,-3%/10%(阳),13%,12%,7%,3%,-1%,-2%
300885,海昌新材,2020-10-26,7.03,14.85,19.98,160.34%,-10%/-2%(阳),-5%,-13%,-16%,-17%,-17%,-15%
300893,松原安全,2025-08-20,2.58,5.08,14.9,259.32%,-3%/16%(阳),6%,3%,1%,1%,-3%,-3%
300896,爱美客,2021-02-09,0.33,8.5,14.84,213.17%,-3%/14%(阳),22%,12%,6%,-2%,-3%,-15%
300905,宝丽迪,2021-04-08,2.63,4.95,8.68,133.04%,-8%/4%(阴),-9%,-10%,-5%,-8%,-7%,-10%
300907,康平科技,2025-03-11,2.77,3.47,21.21,303.52%,-4%/9%(阴),12%,7%,2%,1%,2%,-3%
300917,特发服务,2024-05-17,13.01,21.4,22.67,119.81%,-7%/12%(阳),21%,36%,30%,21%,18%,20%
300925,法本信息,2024-09-23,10.37,17.02,21.66,108.72%,-1%/20%(阳),17%,11%,11%,30%(板),56%(板),87%(板)
300926,博俊科技,2023-10-09,15.27,16.54,15.61,168.06%,-12%/-4%(阴),-6%,-10%,-7%,-10%,-14%,-13%
300928,华安鑫创,2022-06-23,5.47,16.65,22.59,191.46%,-4%/12%(阳),19%,15%,11%,2%,5%,4%
300932,三友联众,2021-11-12,-0.87,8.36,20.83,176.84%,-8%/3%(阴),-6%,-9%,-9%,-14%,-14%,-13%
300937,药易购,2025-02-10,6.46,8.13,22.53,294.27%,-7%/-3%(阴),-5%,-7%,-2%,1%,-5%,-8%
300942,易瑞生物,2022-03-14,7.45,18.3,19.65,161.02%,-13%/-4%(阴),-13%,-9%,-14%,-14%,-17%,-20%
300943,春晖智控,2021-11-19,-1.72,10.29,22.16,246.05%,3%/21%(板),43%,33%,44%,27%,22%,40%
300952,恒辉安防,2024-12-03,8.35,20.17,22.16,248.24%,-11%/4%(阴),-8%,0%,-5%,-3%,-5%,-7%
300969,恒帅股份,2021-08-24,6.66,7.87,17.32,240.54%,-7%/2%(阴),-4%,-4%,13%(板),35%,32%,42%
300970,华绿生物,2025-04-08,-2.82,15.45,18.29,198.42%,-5%/10%(阴),2%,-3%,-6%,-6%,-9%,-12%
300972,万辰集团,2024-10-08,17.2,19.98,12.55,324.19%,-5%/13%(阳),11%,1%,16%(板),24%,15%,17%
300975,商络电子,2021-11-24,3.85,6.76,20.48,307.05%,-6%/6%(阴),-1%,-6%,-6%,-7%,-8%,-9%
300975,商络电子,2024-03-12,5.95,12.86,23.25,134.74%,-7%/15%(阳),10%,3%,11%,8%,7%,24%
300977,深圳瑞捷,2024-08-27,8.03,13.91,16.99,153.59%,-15%/-6%(阴),-14%,-8%,-14%,-16%,-15%,-17%
300985,致远新能,2021-11-19,1.72,13.53,25.78,140.02%,-3%/15%(阳),5%,3%,2%,0%,0%,6%
300985,致远新能,2023-10-17,8.46,12.25,19.25,179.22%,-9%/5%(阳),-1%,-7%,-1%,-1%,16%,10%
300985,致远新能,2024-10-08,15.93,16.33,13.34,168.57%,-11%/-2%(阴),-7%,-11%,-16%,-15%,-17%,-18%
300986,志特新材,2026-01-05,8.97,10.53,14.49,428.7%,5%/20%(板),43%(板),72%(板),107%(板),148%(板),123%,125%
300987,川网传媒,2026-01-12,4.1,4.5,11.97,633.61%,4%/21%(阳),23%,19%,12%,1%,0%,-2%
300991,创益通,2023-05-29,5.62,6.49,20.0,380.74%,-9%/0%(阴),-2%,-1%,-3%,1%,-3%,-6%
300992,泰福泵业,2026-03-31,6.18,12.93,26.59,165.31%,-14%/0%(阴),-13%,-16%,-25%,-26%,-27%,-24%
300995,奇德新材,2025-03-26,9.23,15.54,11.13,109.64%,-4%/7%(阴),3%,20%,24%,18%,11%,-3%
300996,普联软件,2024-10-08,17.51,14.36,15.0,128.21%,-14%/-3%(阴),-9%,-16%,-16%,-12%,-15%,-13%
300996,普联软件,2026-07-30,6.51,9.64,15.31,166.18%,-1%/20%(板),26%,19%,31%,33%,29%,28%
300997,欢乐家,2024-11-29,8.56,19.18,19.75,221.42%,4%/20%(板),13%,6%,-5%,-6%,-7%,4%
300997,欢乐家,2025-05-28,7.48,13.91,23.12,111.86%,-8%/6%(阳),-5%,-10%,-6%,-10%,-15%,-15%
301008,宏昌科技,2026-07-02,3.95,6.95,22.74,260.37%,-4%/10%(阳),7%,1%,7%,5%,7%,0%
301013,利和兴,2026-05-20,6.88,9.24,12.67,244.57%,-6%/3%(阳),17%(板),28%,27%,33%,32%,31%
301017,漱玉平民,2021-10-12,2.79,9.54,22.51,225.03%,0%/20%(板),18%,12%,18%,13%,25%,33%
301018,申菱环境,2022-07-29,3.5,10.99,19.89,110.25%,-8%/1%(阳),5%,-5%,-10%,-13%,-13%,-8%
301020,密封科技,2026-05-20,8.75,9.6,19.43,188.36%,-5%/13%(阴),6%,6%,-1%,-7%,-11%,-12%
301021,英诺激光,2024-10-08,15.88,15.83,17.49,141.57%,-14%/-3%(阴),-10%,-13%,-15%,-13%,-15%,-12%
301024,霍普股份,2023-07-25,3.72,5.51,22.42,229.84%,7%/19%(阳),30%,19%,5%,1%,-8%,-10%
301024,霍普股份,2024-09-30,4.59,5.25,19.05,276.64%,2%/18%(阴),7%,-2%,-6%,-5%,-3%,-2%
301025,读客文化,2022-08-31,4.57,6.55,22.04,399.79%,-10%/-4%(阴),-5%,-9%,-10%,-11%,-13%,-12%
301027,华蓝集团,2024-04-02,5.18,10.26,19.4,148.3%,-11%/-1%(阴),-12%,-18%,-19%,-22%,-22%,-25%
301028,鼎熔岩,2026-05-08,3.79,6.53,15.01,503.0%,-3%/6%(阴),2%,-1%,-3%,2%,3%,17%
301032,新柴股份,2025-03-13,8.23,21.23,21.96,120.74%,-11%/7%(阳),9%,18%,22%,11%,5%,-4%
301038,深水规院,2024-10-08,12.46,13.82,15.5,153.71%,-7%/20%(阳),27%,17%,5%,12%,17%,6%
301041,金百泽,2021-11-26,4.37,7.66,23.41,265.44%,-8%/0%(阳),-4%,4%,-10%,-17%,-19%,-20%
301045,天禄科技,2026-06-30,8.0,11.45,21.14,150.97%,2%/16%(阴),16%,16%,11%,16%,13%,7%
301048,金鹰重工,2023-04-21,4.53,4.92,17.53,376.93%,0%/10%(阴),10%,9%,8%,0%,3%,7%
301048,金鹰重工,2026-03-31,7.7,18.46,20.9,320.61%,-7%/4%(阴),-7%,-10%,-17%,-13%,-14%,-15%
301053,远信工业,2025-05-09,7.55,9.72,18.85,175.41%,-7%/0%(阳),-3%,-5%,-9%,-12%,-13%,-12%
301060,兰卫医学,2021-11-24,8.82,17.87,22.83,151.16%,-2%/20%(板),18%,23%,42%,52%,41%,38%
301060,兰卫医学,2026-01-13,4.24,4.24,17.16,225.64%,-1%/10%(阴),0%,-6%,-10%,-11%,-12%,-12%
301063,海锅股份,2022-03-03,2.42,3.63,16.24,484.1%,-10%/-1%(阴),-8%,-14%,-10%,-7%,-13%,-14%
301069,凯盛新材,2025-08-06,4.96,6.37,18.75,231.38%,0%/14%(阴),1%,8%,6%,4%,6%,11%
301070,开勒股份,2026-04-08,15.48,13.01,21.3,169.85%,5%/18%(阴),11%,12%,12%,11%,6%,12%
301075,多瑞医药,2024-08-02,2.37,4.0,21.18,339.44%,-12%/-3%(阴),6%(板),16%,27%,10%,16%,8%
301085,亚康股份,2024-10-08,19.83,16.0,12.44,135.79%,-16%/-3%(阴),-13%,-19%,-20%,-13%,-20%,-11%
301089,拓新药业,2023-04-24,12.78,17.54,17.47,174.22%,-7%/-1%(阳),11%,23%,27%,23%,19%,9%
301091,深城交,2024-10-08,16.91,16.34,13.76,128.91%,-10%/9%(阴),-3%,-15%,-12%,4%,1%,3%
301092,争光股份,2025-11-20,5.07,7.41,20.48,230.4%,-8%/0%(阴),-7%,-1%,-6%,-13%,-13%,-7%
301100,风光股份,2022-08-18,4.07,7.7,9.44,554.91%,-2%/6%(阴),6%,-1%,-4%,-7%,-12%,-13%
301101,明月镜片,2024-11-15,1.03,6.01,23.25,143.39%,-6%/10%(阴),-5%,2%,-4%,-4%,-10%,-10%
301120,新特电气,2025-07-09,5.66,11.94,15.8,194.82%,-3%/13%(阴),-2%,-1%,-6%,-8%,-10%,-11%
301120,新特电气,2025-10-10,5.79,4.87,22.5,301.62%,-11%/-2%(阳),5%,20%,18%,13%,4%,9%
301123,奕东电子,2025-08-15,3.56,14.7,20.55,130.22%,9%/20%(板),24%,21%,19%,12%,9%,19%
301123,奕东电子,2026-05-28,3.25,10.08,21.89,129.04%,-8%/6%(阴),-2%,-3%,-1%,11%(板),25%,14%
301129,瑞纳智能,2024-05-29,18.86,20.48,11.87,192.3%,-7%/17%(阳),13%,14%,6%,2%,-6%,-16%
301129,瑞纳智能,2025-08-07,5.19,7.41,21.32,219.67%,-9%/3%(阴),-7%,-10%,-10%,-12%,-15%,-13%
301131,聚赛龙,2023-10-26,2.75,12.01,22.38,161.85%,-11%/-1%(阴),-10%,-12%,-17%,-18%,-18%,-16%
301148,嘉戎技术,2023-08-23,8.21,15.38,24.92,212.65%,-5%/20%(阳),18%,7%,11%,5%,2%,-3%
301153,中科江南,2023-01-03,13.6,16.84,17.44,139.5%,-5%/11%(阴),-5%,-4%,-6%,-8%,-7%,-9%
301153,中科江南,2025-12-31,0.98,3.92,20.24,642.45%,-4%/9%(阳),10%,1%,-2%,5%,10%,10%
301155,海力风电,2022-06-20,7.81,14.7,16.73,110.96%,-4%/5%(阳),1%,-4%,9%,13%,11%,7%
301159,三维天地,2026-01-12,2.89,4.49,18.42,208.38%,5%/20%(阴),29%(板),19%,15%,7%,4%,-1%
301160,翔楼新材,2024-12-09,6.15,11.77,17.79,161.81%,0%/14%(阴),5%,0%,-4%,-8%,-9%,-13%
301161,唯万密封,2022-11-03,12.01,16.16,21.74,183.53%,2%/20%(阳),14%,13%,12%,13%,14%,6%
301161,唯万密封,2025-07-21,5.52,7.23,21.94,217.66%,18%/21%(板),30%,7%,-1%,3%,0%,3%
301175,中科环保,2026-02-26,5.37,6.5,14.97,353.59%,-5%/4%(阴),-4%,-5%,-6%,-5%,-4%,-5%
301189,奥尼电子,2024-06-20,9.19,13.18,21.72,178.09%,-9%/-3%(阴),-12%,-12%,-18%,-16%,-19%,-20%
301198,喜悦智行,2022-06-10,6.82,7.22,22.91,176.76%,-7%/-1%(阴),-2%,-4%,-32%,-32%,-25%,-29%
301205,联特科技,2023-02-07,7.31,9.42,15.44,137.23%,7%/18%(阴),34%(板),45%,39%,38%,35%,33%
301205,联特科技,2024-10-08,19.06,13.89,13.04,141.02%,-14%/-1%(阴),-11%,-17%,-19%,-17%,-22%,-22%
301213,观想科技,2024-10-08,14.22,15.1,16.03,151.22%,-17%/-4%(阴),-11%,-14%,-12%,-7%,-3%,-6%
301217,铜冠铜箔,2026-04-29,15.28,17.99,22.13,131.15%,-1%/17%(阳),30%,26%,27%,25%,35%,46%
301217,铜冠铜箔,2026-06-15,10.8,11.64,16.33,102.75%,2%/17%(阴),13%,18%,17%,11%,11%,10%
301219,腾远钴业,2026-04-14,5.97,7.26,9.14,404.49%,-3%/2%(阴),-2%,5%,2%,2%,3%,3%
301221,光庭信息,2024-10-08,19.82,19.75,16.86,126.36%,-14%/2%(阴),-11%,-12%,-19%,-18%,-24%,-14%
301230,泓博医药,2026-01-09,6.61,12.03,18.18,221.23%,5%/18%(阳),37%,64%,43%,21%,16%,21%
301232,飞沃科技,2025-08-08,2.81,6.57,17.36,195.8%,-5%/5%(阴),3%,-1%,-3%,-8%,-6%,-6%
301234,五洲医疗,2025-07-07,0.94,6.87,21.11,142.41%,-8%/0%(阳),14%,5%,-7%,-3%,-7%,-7%
301236,软通动力,2023-11-13,9.43,13.1,16.01,108.96%,1%/11%(阳),14%,5%,2%,6%,5%,1%
301256,华融化学,2025-11-19,1.96,6.95,20.96,241.24%,2%/14%(阳),5%,11%,8%,19%,20%,10%
301265,华新科技,2026-04-20,-4.08,11.02,18.77,132.63%,-3%/7%(阴),-4%,-6%,-8%,-7%,-8%,-7%
301292,海科新源,2026-03-27,16.27,20.01,22.68,106.18%,-2%/6%(阳),2%,1%,-4%,-7%,-9%,-11%
301299,卓创资讯,2023-08-04,5.51,16.86,21.89,169.85%,1%/21%(阳),17%,11%,7%,0%,-4%,-4%
301300,远翔新材,2025-02-20,4.02,7.45,17.18,563.71%,1%/9%(阳),-2%,-6%,-6%,-7%,-10%,-11%
301301,川宁生物,2024-04-30,12.04,9.9,15.57,159.29%,13%/21%(板),29%,39%,35%,38%,32%,33%
301311,昆船智能,2025-05-12,0.0,8.39,21.59,145.9%,-7%/2%(阴),-7%,-8%,-10%,-11%,-12%,-13%
301314,科瑞思,2024-06-18,7.38,21.34,19.01,139.95%,1%/16%(阳),9%,-2%,6%,3%,-1%,13%
301315,威士顿,2024-01-24,6.77,10.18,22.18,163.09%,-6%/6%(阳),1%,-5%,-16%,-21%,-18%,-16%
301323,新莱福,2023-07-14,1.89,9.58,21.84,214.07%,-12%/0%(阴),-12%,-7%,-7%,-10%,-13%,-14%
301335,天元宠物,2025-05-19,15.3,21.94,18.64,135.61%,-2%/21%(板),28%,14%,8%,7%,11%,3%
301353,普莱得,2024-12-13,4.87,5.7,22.25,534.73%,-9%/-1%(阴),-7%,-14%,-14%,-13%,-15%,-18%
301361,众智科技,2025-11-05,1.59,3.59,20.34,482.34%,-3%/6%(阴),0%,2%,-1%,-5%,-7%,-9%
301362,民爆光电,2026-05-22,-3.58,9.55,18.11,143.72%,1%/13%(阳),8%,5%,-24%,-25%,-29%,-29%
301365,矩阵股份,2023-03-22,7.19,9.54,13.23,346.6%,-10%/-1%(阴),-10%,-12%,-14%,-14%,-15%,-15%
301366,一博科技,2023-05-29,4.99,5.58,7.24,257.55%,2%/19%(阴),23%,8%,-1%,-2%,-3%,14%(板)
301366,一博科技,2024-10-08,14.23,16.41,15.04,133.97%,-18%/-5%(阴),-13%,-17%,-18%,-16%,-19%,-17%
301372,科净源,2025-07-29,3.13,5.1,16.09,327.52%,0%/12%(阴),2%,-1%,-6%,-6%,-6%,-9%
301378,通达海,2026-01-12,7.93,8.71,15.54,209.76%,10%/20%(板),43%(板),37%,25%,16%,16%,9%
301382,蜂助手,2024-10-08,18.81,19.13,14.05,123.14%,-14%/2%(阴),-8%,-17%,-15%,-4%,-14%,-12%
301429,森泰股份,2023-07-26,7.46,9.94,21.49,258.71%,-10%/-4%(阴),-9%,-9%,-12%,-15%,-14%,-14%
301439,泓淋电力,2026-06-01,18.53,0.0,12.62,524.6%,-6%/8%(阴),1%,-6%,-8%,-18%,-19%,-24%
301468,博盈特焊,2025-10-20,4.25,6.39,18.22,223.33%,0%/10%(阳),11%,12%,3%,10%,7%,6%
301489,思泉新材,2025-07-31,9.07,8.88,15.02,101.65%,-3%/9%(阳),21%,23%,37%,32%,34%,46%
301517,陕西华达,2024-05-30,11.24,8.87,24.91,116.2%,-4%/15%(阳),4%,-6%,-8%,-15%,-16%,-17%
301526,国际复材,2025-08-15,1.53,8.59,19.55,120.81%,-1%/18%(阳),11%,4%,1%,5%,10%,18%
301536,星宸科技,2024-10-08,17.56,16.06,9.04,157.63%,-9%/2%(阴),-7%,-13%,-16%,-12%,-16%,-11%
301552,科力装备,2024-10-08,19.27,17.46,15.81,144.54%,-15%/-4%(阴),-12%,-16%,-18%,-17%,-18%,-18%
301558,三态股份,2025-04-15,12.96,19.97,26.16,175.36%,2%/17%(阴),9%,-1%,-5%,3%,1%,-10%
301580,爱迪特,2024-10-08,14.88,13.21,15.83,172.36%,-10%/-3%(阴),-3%,-10%,-15%,-13%,-16%,-16%
301591,肯特股份,2026-05-26,3.67,6.11,19.14,263.9%,-30%/-14%(阴),-26%,-17%,-5%,-12%,-9%,-12%
301606,绿联科技,2024-10-08,19.89,17.38,14.22,136.84%,-15%/-5%(阴),-11%,-15%,-19%,-18%,-21%,-20%
301608,博实结,2024-09-30,11.46,12.5,19.43,159.11%,6%/20%(板),33%,15%,3%,-2%,1%,-3%
301622,英思特,2025-06-12,13.28,22.2,21.48,148.95%,-5%/6%(阴),-4%,-5%,-10%,-14%,-16%,-18%
