股票代码,股票名称,D-0日期,D-1涨幅,D-1振幅,D-0振幅,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
688590,新致软件,2023-06-01,7.35,10.53,23.97,187.85%,-3%/15%(阳),9%,8%,13%,6%,7%,13%
688591,泰凌微,2024-10-08,16.8,13.81,9.98,242.24%,-8%/1%(阴),0%,-7%,-8%,-1%,-5%,-3%
688601,力芯微,2024-10-08,14.09,13.72,6.15,173.72%,-9%/7%(阴),-5%,-13%,-15%,-13%,-18%,-16%
688607,康众医疗,2026-01-12,-1.77,16.62,8.76,241.52%,0%/21%(阴),12%,8%,3%,0%,1%,11%
688620,安凯微,2025-02-05,10.53,18.58,7.13,123.06%,-3%/21%(板),43%,48%,34%,27%,22%,22%
688652,京仪装备,2024-10-08,17.78,18.3,11.43,198.93%,-11%/1%(阴),-7%,-15%,-18%,-17%,-20%,-20%
688653,康希通信,2024-10-08,14.81,13.85,15.1,180.24%,-10%/4%(阴),-6%,-11%,-14%,-10%,-15%,-16%
688655,迅捷兴,2022-01-05,14.88,15.43,19.05,199.68%,-5%/3%(阴),-3%,-9%,-10%,-12%,-12%,-13%
688661,和林微纳,2026-04-21,-2.9,8.11,21.62,199.18%,-2%/21%(阳),15%,8%,16%,20%,23%,22%
688668,鼎通科技,2024-03-19,10.98,10.52,17.52,192.74%,-2%/11%(阴),9%,24%(板),24%,17%,-1%,0%
688680,海优新材,2024-10-08,19.73,16.82,13.06,152.44%,-16%/-4%(阴),-11%,-17%,-21%,-21%,-25%,-25%
688689,银河微电,2024-10-08,16.18,13.29,11.25,184.95%,-9%/3%(阴),-5%,-13%,-13%,-10%,-13%,-12%
688691,灿芯股份,2024-10-08,18.93,16.24,8.29,140.02%,-5%/20%(阳),8%,-5%,-7%,-4%,-10%,-8%
688692,达梦数据,2024-10-08,16.53,17.21,15.07,176.38%,-12%/0%(阴),-4%,-15%,-17%,-15%,-16%,-11%
688701,卓锦股份,2024-10-08,13.59,13.59,15.33,149.12%,-14%/-3%(阴),-11%,-14%,-15%,-14%,-12%,-10%
688702,盛科通信,2024-10-08,19.16,17.42,11.36,244.35%,-11%/9%(阳),3%,-5%,-9%,-10%,-12%,-7%
688716,中研股份,2023-12-19,6.18,10.42,19.84,150.5%,-2%/17%(阴),0%,-1%,-6%,-9%,-15%,-15%
688720,艾森股份,2024-10-08,16.86,15.82,13.13,189.73%,-12%/2%(阴),-8%,-16%,-19%,-17%,-17%,-14%
688726,拉普拉斯,2026-01-23,8.33,10.74,14.13,134.49%,1%/10%(阴),23%,21%,26%,19%,25%,30%
688728,格科微,2026-06-30,13.1,15.16,17.97,105.58%,7%/21%(板),23%,17%,12%,13%,11%,14%
688733,壹石通,2023-11-15,2.77,5.53,19.62,491.12%,11%/20%(阴),33%,26%,23%,13%,10%,8%
688786,悦安新材,2023-06-05,2.2,3.0,18.76,1446.61%,-10%/1%(阴),-7%,-10%,-8%,-7%,-8%,-11%
688787,海天瑞声,2024-12-11,9.89,20.71,22.72,139.3%,-5%/12%(阴),7%,-1%,-11%,-11%,-11%,-6%
688787,海天瑞声,2026-01-12,5.94,6.35,14.79,167.47%,1%/13%(阴),24%,9%,7%,11%,10%,5%
688793,倍轻松,2022-05-31,18.43,19.39,17.05,192.05%,-4%/14%(阴),3%,2%,-1%,-5%,-8%,-13%
688800,瑞可达,2025-08-01,6.27,11.1,19.28,146.39%,2%/10%(阳),7%,7%,13%,8%,6%,10%
300006,莱美药业,2024-10-08,14.47,15.76,11.52,168.51%,-6%/11%(阳),4%,-4%,-10%,-10%,-12%,-12%
300006,莱美药业,2026-04-03,5.23,8.72,24.31,302.24%,-8%/2%(阴),0%,-8%,-9%,-7%,-5%,-4%
300009,安科生物,2025-07-31,5.65,8.59,18.14,309.7%,-5%/5%(阴),-1%,-1%,-4%,-8%,-7%,7%
300014,亿纬锂能,2024-09-30,16.34,18.03,12.79,152.31%,10%/21%(板),15%,7%,0%,-4%,-5%,-9%
300016,北陆药业,2025-06-03,2.05,4.69,19.66,367.31%,-4%/8%(阴),-3%,0%,1%,8%,8%,11%
300029,未找到标的,2023-10-16,12.92,17.69,22.48,240.07%,-10%/11%(阴),-8%,-16%,-9%,-9%,-11%,-11%
