股票代码,股票名称,D-0日期,D-0涨幅,D-0振幅,D-0最低价,D-0最高价,D-1振幅,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
300422,博世科,2026-04-27,-0.72,9.35,-3.78,+5.58,7.56,214.91%,-2%/6%(阳),5%,4%,5%,10%,7%,6%
300426,华智数媒,2021-02-09,7.73,15.91,+3.48,+19.39,13.27,279.33%,-7%/1%(阳),4%,-5%,-6%,-7%,-10%,-10%
300426,华智数媒,2025-08-19,-2.16,8.56,-2.85,+5.70,16.29,132.02%,-6%/0%(阴),-3%,-5%,-4%,-2%,-3%,-7%
300427,红相股份,2025-11-18,5.98,16.8,-3.11,+13.69,12.15,254.17%,-4%/16%(阳),7%,3%,0%,2%,-3%,-3%
300427,红相股份,2026-01-15,-10.98,12.18,-15.10,-2.92,22.16,71.7%,2%/19%(阳),31%,40%,25%,20%,23%,30%
300429,强力新材,2023-11-09,-6.0,11.38,-7.93,+3.45,23.51,108.38%,-6%/3%(阳),4%,7%,3%,-1%,-4%,0%
300430,*ST益通,2024-12-19,-5.61,8.19,-6.13,+2.06,21.14,116.59%,-2%/0%(阳),-2%,-8%,-2%,-7%,-5%,-8%
300435,中泰股份,2020-09-10,-18.49,15.64,-19.49,-3.85,20.45,81.91%,0%/11%(阳),14%,10%,6%,10%,16%,11%
300436,广生堂,2024-10-17,-5.31,12.06,-7.25,+4.81,21.58,107.16%,-1%/11%(阳),28%,35%,28%,24%,27%,33%
300437,清水源,2021-07-22,-5.77,6.26,-7.12,-0.87,15.7,89.16%,-3%/3%(阴),0%,-1%,-8%,-9%,-4%,-4%
300437,清水源,2024-11-21,5.35,12.83,+2.14,+14.97,20.04,374.55%,-9%/2%(阴),-6%,-7%,-11%,-11%,-13%,-8%
300438,鹏辉能源,2020-11-24,0.04,8.16,-2.47,+5.69,14.47,131.98%,-4%/1%(阳),-2%,-2%,-5%,1%,0%,-2%
300438,鹏辉能源,2024-10-09,-14.47,12.27,-15.44,-3.17,15.33,72.69%,-2%/4%(阴),-4%,-6%,3%,-5%,-4%,1%
300440,运达科技,2024-10-17,-2.85,11.14,-2.85,+8.29,22.08,160.95%,-5%/5%(阳),4%,0%,-3%,-3%,-2%,-2%
300441,鲍斯股份,2024-07-18,-1.66,6.93,-5.87,+1.05,6.51,241.67%,-5%/-2%(阴),-3%,-5%,-8%,-6%,-4%,-6%
300444,双杰电气,2022-03-22,-2.05,16.56,-3.00,+13.56,16.29,168.21%,-2%/4%(阴),-3%,-7%,-10%,-10%,-10%,-11%
300444,双杰电气,2025-11-06,1.82,9.91,+1.42,+11.32,22.57,144.91%,-1%/5%(阴),13%,15%,7%,8%,13%,9%
300447,全信股份,2021-07-09,-6.08,6.92,-7.34,-0.42,19.32,81.76%,-2%/0%(阴),4%,3%,1%,2%,8%,9%
300451,创业慧康,2025-03-11,-4.73,8.97,-7.47,+1.49,21.38,101.33%,-1%/3%(阴),5%,0%,-5%,-5%,-5%,-6%
300452,山河药辅,2020-12-04,-2.95,7.24,-7.50,-0.26,20.6,91.23%,-6%/1%(阴),-2%,-4%,-6%,-4%,-6%,-5%
300452,山河药辅,2025-07-02,-4.62,9.99,-5.77,+4.21,13.61,104.7%,-2%/13%(阳),5%,7%,4%,1%,0%,-2%
300455,航天智装,2023-07-12,0.3,7.91,-4.36,+3.55,17.92,244.35%,-4%/15%(阳),11%,2%,-1%,-4%,-6%,-9%
300457,赢合科技,2023-08-28,6.13,10.04,+3.88,+13.92,13.88,123.5%,-2%/2%(阴),-1%,-19%,-24%,-23%,-23%,-31%
300460,ST惠伦,2024-07-22,-2.65,10.3,-4.67,+5.63,16.94,139.42%,-2%/3%(阳),3%,-3%,-1%,0%,0%,1%
300460,ST惠伦,2025-06-13,-7.64,8.19,-8.00,+0.18,20.42,98.17%,0%/2%(阳),10%,20%,28%,21%,13%,17%
300461,田中精机,2020-08-25,3.34,13.91,+2.44,+16.35,18.43,235.25%,-9%/19%(阳),27%,11%,12%,17%,19%,12%
300462,ST华铭,2021-09-07,-3.0,7.31,-4.24,+3.07,20.0,159.03%,-2%/1%(阴),1%,-1%,-3%,-3%,-1%,0%
300462,ST华铭,2023-11-24,-5.36,14.23,-9.16,+5.08,20.43,264.94%,-4%/2%(阴),0%,9%,3%,-2%,0%,-2%
300463,迈克生物,2026-01-27,-6.34,4.58,-9.51,-4.93,12.0,94.37%,-4%/0%(阴),-6%,-7%,-9%,-10%,-9%,-9%
300464,星徽股份,2024-05-28,-8.23,8.01,-10.82,-2.81,16.62,95.56%,-5%/16%(阳),12%,9%,6%,-4%,-15%,-17%
300465,高伟达,2024-12-13,3.51,9.99,+1.06,+11.05,21.24,183.34%,-11%/-3%(阴),7%,20%,19%,17%,10%,5%
300466,赛摩智能,2020-10-26,-0.21,9.81,-6.12,+3.69,19.75,99.24%,-5%/0%(阴),-4%,-6%,-9%,-11%,-6%,-4%
300466,赛摩智能,2023-09-21,-2.34,6.06,-3.44,+2.62,20.66,145.14%,-4%/0%(阴),11%,18%,10%,5%,7%,16%
300467,迅游科技,2021-07-14,1.06,9.71,+0.22,+9.93,17.01,290.1%,0%/10%(阳),5%,-1%,-1%,-1%,1%,2%
300467,迅游科技,2022-01-20,-10.57,9.73,-10.89,-1.16,10.34,99.57%,-7%/1%(阴),-7%,-10%,-18%,-17%,-22%,-25%
300468,四方精创,2024-08-20,0.53,10.32,-1.05,+9.26,11.36,339.0%,-3%/8%(阳),4%,-2%,-4%,-6%,-12%,-10%
300468,四方精创,2025-05-30,7.27,8.87,+6.06,+14.93,20.4,188.58%,8%/19%(阳),13%,27%,17%,16%,21%,25%
300469,信息发展,2026-07-10,0.27,5.65,+0.02,+5.67,17.69,86.6%,-9%/1%(阴),-4%,-8%,-8%,-5%,-9%,-22%
300471,厚普股份,2021-04-07,9.24,12.99,+5.40,+18.39,13.94,247.76%,-2%/8%(阳),13%,5%,-2%,-2%,-6%,-2%
300472,ST新元,2024-08-07,7.3,16.1,+2.06,+18.16,18.65,483.77%,-10%/-4%(阳),-8%,-13%,-8%,-10%,7%(板),29%
300473,德尔股份,2021-06-29,-6.39,13.19,-7.05,+6.14,16.12,128.83%,-1%/3%(阳),3%,-2%,1%,3%,5%,4%
300473,德尔股份,2024-09-05,-0.45,12.27,-2.35,+9.91,21.69,196.86%,-5%/2%(阴),-8%,-9%,-7%,-10%,-15%,-20%
300475,香农芯创,2020-09-10,-3.07,23.03,-3.07,+19.97,17.83,261.94%,-17%/-4%(阳),-1%,12%,19%,10%,11%,14%
