股票代码,股票名称,D-0日期,D-2涨幅,D-2振幅,D-1涨幅,D-1振幅,D-0振幅,D-0/D-2成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
300364,中文在线,2023-03-24,8.8,10.2,-1.36,4.35,19.08,168.27%,1%/12%(阳),27%,22%,21%,30%,38%,37%
300400,劲拓股份,2024-08-23,6.21,10.18,-6.29,5.32,22.62,181.45%,-5%/8%(阳),-2%,-1%,2%,6%,3%,3%
300402,宝色股份,2023-12-11,4.44,6.75,-3.34,6.35,20.22,221.99%,-3%/4%(阴),-1%,-6%,-8%,-9%,-6%,-8%
300418,昆仑万维,2023-03-24,10.3,15.48,1.78,6.81,20.86,115.6%,-5%/7%(阳),1%,-2%,-4%,15%,25%,26%
300436,广生堂,2021-12-24,5.05,9.93,0.09,3.1,20.94,283.57%,6%/20%(板),41%,33%,27%,28%,25%,13%
300452,山河药辅,2021-12-27,7.66,12.43,1.26,8.26,22.59,200.99%,-7%/6%(阴),4%,0%,7%,3%,-6%,-10%
300458,全志科技,2021-06-17,4.53,6.61,-1.49,9.16,18.57,151.01%,-1%/4%(阴),4%,5%,19%,15%,11%,20%
300464,星徽股份,2024-11-15,0.95,6.45,-3.76,4.51,20.31,254.92%,-9%/0%(阴),-8%,-7%,-1%,0%,-7%,-9%
300466,赛摩智能,2025-03-11,0.81,9.31,-2.08,5.2,21.93,108.51%,-4%/2%(阴),-3%,-4%,-7%,-7%,-4%,-6%
300471,厚普股份,2021-08-11,-0.76,16.6,1.02,9.25,20.33,130.26%,2%/13%(阳),24%,40%(板),53%,43%,34%,21%
300474,景嘉微,2023-02-09,5.85,7.69,-1.67,7.21,23.47,170.68%,-3%/5%(阴),7%,5%,6%,1%,-4%,-8%
300479,神思电子,2024-12-10,4.37,8.21,-3.44,8.19,19.47,133.16%,0%/8%(阴),5%,1%,-5%,-10%,-12%,-9%
300483,首华燃气,2022-02-24,9.67,10.06,-2.92,2.44,16.93,278.27%,-5%/8%(阳),11%,-3%,6%,8%,1%,6%
300500,启迪设计,2021-03-09,3.93,4.29,-2.06,3.78,12.11,331.49%,2%/14%(阴),8%,0%,-2%,1%,0%,4%
300504,天邑股份,2024-08-16,15.78,21.16,-2.13,7.62,14.09,160.51%,-1%/15%(阴),-1%,-1%,-3%,2%,7%,-1%
300508,维宏股份,2025-02-25,3.49,6.54,0.35,3.4,22.09,182.29%,-1%/8%(阴),0%,-5%,-9%,-9%,-9%,-4%
300511,雪榕生物,2024-08-19,6.73,18.52,-3.79,4.42,20.98,178.02%,-11%/-4%(阴),-11%,-13%,-21%,-23%,-13%,-19%
300514,友讯达,2021-09-30,8.88,20.72,-5.44,6.5,19.2,107.78%,-2%/9%(阴),2%,0%,-3%,-4%,-5%,-8%
300515,三德科技,2022-11-18,8.89,9.3,0.15,3.43,20.64,247.01%,0%/6%(阳),12%,6%,2%,-1%,-2%,-5%
300516,久之洋,2021-06-24,1.74,6.56,-2.94,2.19,21.14,204.73%,-7%/-4%(阴),-5%,-5%,-8%,-5%,5%,-5%
300518,新迅达,2024-08-19,3.24,6.36,-2.14,3.02,22.34,315.59%,1%/20%(板),31%,3%,-9%,-9%,-12%,-11%
300528,幸福蓝海,2025-07-24,6.71,8.16,1.02,5.18,17.16,155.86%,-2%/9%(阴),23%(板),47%(板),77%(板),98%,72%,46%
300541,先进数通,2022-01-17,6.85,11.01,0.68,4.71,14.5,152.69%,2%/15%(阴),21%,15%,8%,14%,8%,4%
300546,雄帝科技,2021-05-21,7.36,18.16,-3.53,3.79,21.33,123.13%,1%/18%(阳),21%,20%,18%,12%,10%,29%
300551,古鳌科技,2025-12-17,3.14,12.92,-0.92,5.45,23.5,121.11%,-4%/4%(阴),3%,0%,-4%,-4%,-3%,10%
300552,万集科技,2022-06-06,2.88,4.96,1.92,3.95,14.58,259.5%,-6%/9%(阴),5%,5%,4%,6%,20%,16%
300561,汇金科技,2025-08-13,7.8,9.34,3.82,7.07,19.98,103.6%,-3%/9%(阴),17%,27%,21%,20%,20%,14%
300565,科信技术,2020-11-09,7.67,11.09,-7.89,7.29,19.69,107.65%,3%/19%(阴),-3%,-10%,-15%,-14%,-16%,-13%
300576,容大感光,2021-07-29,-0.94,10.71,2.39,16.01,20.62,133.78%,4%/15%(阳),13%,9%,1%,-4%,-3%,-6%
300585,奥联电子,2022-06-20,13.54,16.63,2.07,8.94,21.84,229.6%,5%/20%(阴),11%,18%,10%,6%,11%,-2%
300624,万兴科技,2025-02-05,12.69,15.42,-0.54,7.41,10.44,123.8%,-7%/-2%(阴),5%,1%,-2%,-5%,1%,-1%
300629,新劲刚,2021-07-27,2.91,7.61,-2.65,6.39,20.86,220.43%,-6%/7%(阴),4%,3%,16%,17%,9%,18%
300637,扬帆新材,2023-11-09,3.29,7.56,-0.74,4.14,19.87,140.17%,-9%/-2%(阴),-4%,-6%,2%,15%(板),16%,11%
300652,雷迪克,2021-10-28,12.19,16.94,0.66,7.96,23.21,172.64%,-12%/-6%(阴),-11%,-6%,-9%,-10%,-10%,-10%
300654,世纪天鸿,2024-03-22,11.26,18.51,-1.09,7.86,19.86,137.39%,-12%/-3%(阴),-10%,-10%,-8%,-7%,-4%,-8%
300656,民德电子,2020-09-04,2.64,5.16,-1.57,3.66,23.23,415.2%,5%/18%(阳),18%,9%,-1%,0%,11%,3%
300661,圣邦股份,2021-07-29,-1.04,12.63,-2.24,8.05,20.02,134.59%,0%/14%(阳),8%,3%,16%,16%,11%,6%
300672,国科微,2024-05-30,7.22,15.81,-0.7,3.79,21.43,198.62%,-2%/8%(阳),5%,2%,10%,8%,4%,8%
300683,海特生物,2025-07-21,11.93,17.38,-3.81,5.39,18.77,173.12%,-2%/12%(阳),28%,21%,26%,19%,36%,38%
300689,澄天伟业,2024-06-21,5.26,9.87,-4.59,4.31,0.0,158.87%,-1%/14%(阳),1%,-7%,-9%,-12%,-15%,-16%
300697,电工合金,2023-11-24,1.96,7.2,1.83,3.84,6.93,190.63%,-5%/6%(阴),2%,0%,-10%,-10%,-6%,-4%
300713,英可瑞,2023-05-10,3.42,5.35,-5.81,4.36,22.01,214.82%,4%/13%(阳),8%,26%(板),52%,56%,50%,53%
300718,长盛轴承,2025-07-21,5.01,9.94,-1.01,2.72,14.71,160.73%,-2%/7%(阴),3%,1%,0%,0%,2%,-1%
300727,润禾材料,2024-12-26,8.85,8.6,-5.66,10.17,20.02,238.8%,-6%/0%(阴),-2%,-8%,-12%,-14%,-21%,-19%
300745,欣锐科技,2025-10-30,1.71,5.19,2.18,5.1,20.0,259.53%,-6%/-2%(阴),-5%,-8%,-1%,-2%,-3%,-5%
300757,罗博特科,2026-02-03,12.9,15.62,-6.68,8.17,12.09,158.27%,-4%/2%(阴),-4%,-3%,5%,2%,-2%,5%
300791,仙乐健康,2020-08-27,10.42,12.38,-3.3,9.88,21.77,118.08%,-6%/2%(阴),-1%,-1%,3%,1%,4%,7%
300796,贝斯美,2025-05-29,12.43,18.37,-4.48,6.27,22.94,265.89%,-11%/6%(阳),-3%,-4%,-1%,-1%,11%,27%
300803,指南针,2025-08-15,3.12,9.38,-4.47,5.42,20.75,154.98%,2%/19%(阳),17%,15%,20%,29%,41%,44%
300814,中富电路,2023-11-17,3.39,7.8,-4.43,3.98,21.75,155.18%,3%/13%(阳),8%,0%,-5%,-7%,-10%,-7%
300816,艾可蓝,2025-02-13,6.13,8.66,-1.71,3.76,19.98,195.13%,4%/19%(板),42%,16%,18%,15%,11%,10%
300817,双飞集团,2020-09-01,13.34,21.25,-3.52,9.48,21.75,119.03%,-5%/14%(阴),-2%,-8%,-2%,-3%,2%,-2%
300820,英杰电气,2021-10-28,7.27,9.21,2.1,7.5,20.85,225.68%,1%/10%(阴),10%,9%,8%,12%,9%,9%
300821,东岳硅材,2020-09-09,2.78,8.0,1.72,6.55,21.82,254.13%,-19%/-4%(阴),-16%,-10%,-4%,-7%,-8%,-11%
300821,东岳硅材,2021-08-18,16.96,21.64,-6.05,10.5,19.48,137.53%,-10%/-2%(阳),7%,23%,28%,38%,43%,37%
300821,东岳硅材,2025-07-02,2.88,4.32,-1.4,1.78,21.29,443.72%,-6%/-1%(阴),1%,-3%,16%,14%,24%,15%
300827,上能电气,2025-11-13,5.27,13.94,-1.48,9.45,19.17,130.01%,1%/10%(阳),3%,-3%,-8%,-4%,-11%,-14%
300830,金现代,2021-06-16,3.67,6.8,-3.64,3.23,20.19,163.52%,-7%/2%(阴),-4%,-5%,-6%,-8%,-2%,-6%
300831,ST派瑞,2020-11-03,3.09,13.57,6.58,13.2,22.4,226.2%,-11%/-4%(阴),-8%,-12%,-6%,-4%,-8%,-12%
300840,酷特智能,2022-07-06,2.43,7.83,0.43,7.1,21.86,306.44%,-6%/-1%(阴),-2%,-3%,-5%,-9%,-6%,-9%
300843,胜蓝股份,2020-10-30,6.89,10.97,-1.9,4.2,20.71,158.48%,8%/20%(板),37%,20%,10%,11%,3%,2%
300843,胜蓝股份,2024-12-24,3.25,8.16,-3.92,6.62,20.31,354.34%,-3%/2%(阴),8%,4%,11%,2%,-5%,-9%
300852,四会富仕,2021-07-27,-0.13,4.82,-5.85,5.5,19.87,475.94%,-13%/-1%(阴),11%(板),26%,33%,26%,22%,17%
300877,金春股份,2025-10-10,4.23,7.53,0.65,5.26,21.95,137.66%,-8%/7%(阳),5%,7%,2%,-3%,-5%,-10%
300882,万胜智能,2022-07-08,2.07,9.47,2.3,5.09,6.0,294.39%,-1%/16%(阳),18%,16%,19%,14%,11%,10%
300894,火星人,2024-04-16,15.13,16.32,-3.67,8.02,23.12,151.89%,-5%/15%(阳),10%,10%,12%,0%,-5%,-7%
300903,科翔股份,2025-06-18,12.8,19.5,-2.42,7.27,21.56,186.82%,-1%/11%(阴),5%,3%,8%,3%,17%,10%
300913,兆龙互连,2024-03-19,9.31,14.13,0.21,6.3,21.31,174.07%,5%/18%(阳),16%,29%,20%,13%,1%,0%
300918,南山智尚,2025-05-06,10.7,16.47,0.34,5.12,17.86,111.12%,-4%/9%(阴),1%,-5%,-7%,-6%,-8%,-9%
300942,易瑞生物,2022-12-02,13.31,18.8,-4.59,7.95,19.86,149.0%,-9%/-1%(阳),-4%,-10%,-9%,-1%,-3%,-10%
300963,中洲特材,2025-03-25,4.42,7.53,-4.33,7.69,20.8,103.25%,0%/7%(阴),-2%,-3%,14%,27%(板),32%,32%
300989,蕾奥规划,2023-03-09,2.29,3.98,0.73,2.43,20.92,437.24%,1%/17%(阳),8%,1%,1%,3%,-1%,-4%
301011,华立科技,2024-11-25,7.93,11.28,-1.48,8.28,20.88,176.37%,7%/19%(板),43%(板),72%,63%,52%,46%,35%
301016,雷尔伟,2026-01-06,8.77,11.95,-2.17,3.72,19.56,164.87%,-6%/4%(阴),-5%,-9%,-9%,-4%,10%,5%
301022,海泰科,2025-02-28,2.82,4.15,0.25,5.49,9.92,231.08%,1%/16%(阳),5%,7%,13%,6%,3%,1%
301024,霍普股份,2025-11-05,6.13,13.96,-2.75,5.82,12.25,133.92%,-7%/6%(阴),-5%,-1%,-4%,-6%,-8%,-8%
