股票代码,股票名称,D-0日期,D-3振幅,D-2涨幅,D-2振幅,D-1振幅,D-0振幅,D-3~D-1区间涨幅,D-3~D-1区间振幅,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
301038,深水规院,2023-10-25,6.94,0.21,4.56,4.98,3.09,5.23%,10.25%,191.74%,3%/16%(阳),5%,-7%,-11%,-11%,-10%,-10%
301082,久盛电气,2025-05-29,18.78,-3.98,6.47,21.17,24.58,23.02%,29.32%,136.58%,-16%/-5%(阴),-17%,-15%,-15%,-20%,-18%,-17%
301110,青木科技,2023-03-17,6.49,-1.39,2.0,21.44,16.46,15.77%,22.48%,128.92%,-5%/11%(阳),25%,21%,21%,30%,30%,18%
301117,佳缘科技,2026-01-14,17.53,10.4,12.88,31.33,19.43,31.44%,45.95%,124.39%,-19%/-3%(阴),-13%,-15%,-20%,-25%,-25%,-19%
301151,冠龙节能,2023-10-25,6.03,-1.82,4.16,11.16,0.0,8.51%,15.25%,114.98%,21%/21%(板),44%(板),35%,10%,2%,4%,4%
301191,菲菱科思,2025-12-02,5.8,1.17,1.65,3.83,21.21,4.42%,7.93%,545.65%,-8%/-2%(阴),-2%,-4%,-6%,-3%,-4%,-5%
301205,联特科技,2023-05-15,15.45,-8.11,8.52,21.19,20.14,11.37%,21.46%,122.72%,-8%/-1%(阴),10%,18%,16%,6%,14%,26%
301208,中亦科技,2024-09-30,5.83,0.83,4.77,14.5,16.94,17.98%,20.59%,135.72%,2%/21%(板),17%,5%,10%,10%,14%,4%
301220,亚香股份,2025-02-10,17.94,3.19,8.21,18.89,20.48,1.8%,21.75%,104.87%,2%/20%(板),36%,32%,25%,23%,23%,33%
301306,西测测试,2026-03-18,5.73,-3.58,6.25,9.45,20.34,2.11%,13.93%,148.5%,1%/12%(阳),5%,9%,7%,5%,21%,18%
301550,斯菱智驱,2024-10-08,7.3,4.33,7.36,17.05,12.62,30.74%,31.87%,153.46%,-9%/0%(阴),-3%,-11%,-16%,-14%,-17%,-17%
