股票代码,股票名称,D-0日期,D-4涨幅,D-4振幅,D-3~D-1区间涨幅,D-3~D-1区间振幅,D-0振幅,D-0/D-4成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
300723,一品红,2024-11-26,9.83,10.68,-6.35%,8.84%,21.47,250.68%,-9%/-1%(阴),-5%,-6%,-2%,-4%,-7%,-8%
300771,智莱科技,2024-07-23,-0.43,6.63,-1.53%,14.63%,18.63,240.51%,-7%/-3%(阴),-1%,-5%,-8%,6%,-5%,-6%
300781,因赛集团,2021-10-28,5.14,9.41,-9.17%,9.17%,20.61,113.92%,-4%/5%(阳),2%,10%,7%,2%,3%,6%
300820,英杰电气,2025-10-09,5.34,6.69,0.72%,5.77%,16.31,229.4%,-7%/0%(阴),-6%,-3%,-8%,-8%,-13%,-16%
300853,申昊科技,2024-12-09,6.01,19.94,0.95%,12.44%,19.42,115.51%,1%/15%(阴),21%(板),25%,13%,8%,-1%,-6%
300885,海昌新材,2025-12-04,14.14,14.44,-5.71%,9.82%,19.66,144.85%,2%/14%(阳),9%,9%,4%,-1%,6%,-2%
300892,品渥食品,2021-09-24,7.49,16.37,-4.39%,10.43%,20.92,299.07%,-6%/7%(阳),2%,6%,4%,3%,10%,9%
300907,康平科技,2024-04-18,-2.9,7.96,-4.49%,18.42%,22.92,307.6%,-6%/4%(阴),-3%,-5%,-9%,-7%,-4%,-2%
300911,亿田智能,2026-08-19,3.24,14.29,-1.72%,9.42%,19.35,163.24%,-9%/-2%(阴),-8%,-10%,-14%,-16%,-17%,-15%
300927,江天化学,2026-01-20,5.45,6.79,-3.22%,7.24%,20.78,231.91%,0%/7%(阳),8%,13%,20%,12%,15%,16%
300930,屹通新材,2022-06-27,1.83,5.45,1.31%,6.03%,7.8,674.46%,-5%/3%(阴),9%,16%,13%,16%,17%,19%
300930,屹通新材,2025-07-08,5.15,6.63,-5.74%,8.37%,20.37,141.51%,-4%/2%(阳),-1%,-2%,-3%,-6%,-10%,-9%
300960,通业科技,2021-12-08,2.21,5.63,-12.16%,18.73%,18.81,195.1%,-5%/5%(阴),-2%,-5%,-5%,-4%,-5%,-1%
300972,万辰集团,2022-03-21,5.46,14.95,3.11%,7.9%,19.59,159.35%,2%/16%(阴),0%,-1%,-2%,-3%,15%(板),9%
300972,万辰集团,2025-04-21,4.34,7.35,-0.09%,6.87%,19.76,178.65%,-4%/0%(阴),-2%,4%,5%,6%,12%,26%
300981,中红医疗,2024-11-18,0.94,4.06,-7.46%,8.68%,16.28,390.73%,-3%/10%(阳),11%,3%,0%,-6%,-5%,-8%
300990,同飞股份,2022-07-04,7.45,10.75,-6.47%,8.26%,16.54,104.75%,-1%/14%(阳),9%,20%,28%,18%,16%,23%
300990,同飞股份,2025-12-23,14.46,15.39,-4.74%,9.3%,18.84,142.63%,3%/12%(阴),6%,4%,1%,5%,0%,-2%
301010,晶雪节能,2024-12-12,1.28,7.72,0.0%,6.63%,19.56,304.34%,13%/19%(板),43%,40%,39%(板),65%,50%,45%
301016,雷尔伟,2022-10-25,2.23,9.67,3.42%,9.16%,21.84,493.86%,-9%/5%(阴),-8%,-12%,-20%,-20%,-17%,-16%
301032,新柴股份,2025-03-06,7.72,19.49,-5.86%,9.53%,19.5,187.75%,-11%/-5%(阴),-5%,2%,20%,30%(板),39%,43%
301055,张小泉,2025-03-24,2.77,5.28,1.93%,5.65%,18.27,203.92%,-3%/14%(阴),-4%,-9%,-10%,-14%,-13%,-14%
301065,本立科技,2024-08-08,9.76,16.81,0.66%,14.54%,22.85,235.46%,-12%/-3%(阴),-10%,-14%,-15%,-15%,-12%,-13%
301079,邵阳液压,2025-03-20,-0.93,8.6,-4.81%,11.04%,20.07,138.36%,10%/19%(板),43%(板),57%,60%,49%,36%,25%
301091,深城交,2024-10-25,19.82,21.16,-12.63%,19.34%,14.3,129.56%,-3%/10%(阴),0%,1%,5%,-2%,-12%,-1%
301112,信邦智能,2025-03-04,5.05,5.39,-7.11%,7.79%,21.06,154.5%,-7%/-4%(阴),-5%,-5%,-7%,-6%,-7%,-8%
301129,瑞纳智能,2026-08-18,17.25,20.97,-11.37%,10.61%,14.97,147.27%,-10%/-5%(阴),-7%,-2%,-7%,-9%,-8%,-10%
301141,中科磁业,2023-07-05,14.35,18.76,-6.98%,7.37%,21.24,126.11%,0%/19%(阳),29%,26%,34%(板),59%,50%,48%
301157,华塑科技,2024-12-19,1.4,10.14,-4.7%,15.74%,22.61,164.47%,-8%/-2%(阳),-3%,-8%,-2%,9%,0%,-3%
301158,德石股份,2025-06-13,3.62,4.35,0.24%,4.38%,16.34,494.13%,-5%/5%(阳),6%,0%,4%,-2%,-3%,-13%
301162,国能日新,2024-03-08,4.73,7.37,-5.38%,7.1%,20.0,172.41%,4%/19%(阳),8%,3%,1%,-3%,0%,1%
301166,优宁维,2026-08-20,4.75,8.43,-6.83%,7.49%,13.0,152.38%,-11%/0%(阴),-9%,-13%,-8%,-11%,-13%,-13%
301171,易点天下,2025-07-31,6.38,8.12,-2.61%,4.81%,15.89,243.96%,-3%/9%(阴),2%,0%,-2%,-2%,-4%,-7%
301206,三元生物,2025-04-10,2.86,4.43,-7.17%,11.29%,18.88,491.16%,-5%/1%(阴),-5%,-2%,-2%,-4%,-5%,-8%
301279,金道科技,2025-03-26,2.78,7.14,-10.49%,11.98%,20.29,109.05%,-8%/5%(阴),-7%,-6%,1%,-3%,-7%,-20%
301281,科源制药,2023-07-21,2.48,4.84,-2.42%,3.15%,20.91,532.32%,-3%/4%(阴),0%,-6%,-7%,-11%,-12%,-13%
301307,美利信,2025-09-16,11.94,16.69,9.08%,19.0%,19.35,124.65%,-4%/4%(阴),8%,4%,3%,3%,7%,-3%
301387,光大同创,2023-10-30,13.79,16.6,1.61%,10.51%,22.05,127.46%,-8%/-2%(阴),-3%,-6%,-2%,-1%,14%,3%
301398,星源卓镁,2024-03-12,1.79,14.74,0.95%,12.51%,21.84,185.51%,-6%/7%(阳),-2%,1%,10%,3%,0%,8%
301398,星源卓镁,2025-02-19,1.58,6.43,-2.22%,5.85%,19.37,318.98%,-3%/1%(阴),-3%,0%,1%,5%,8%,7%
301565,中仑新材,2026-05-28,8.34,9.54,-1.27%,4.99%,21.56,337.15%,-2%/7%(阳),2%,-2%,-5%,-6%,-7%,-10%
301607,富特科技,2025-03-06,-3.92,13.84,3.48%,10.64%,21.41,183.5%,-3%/5%(阳),2%,-6%,-1%,-4%,-8%,-7%
