股票代码,股票名称,D-0日期,D-2振幅,D-1振幅,D-0振幅,D-2/D-1区间涨幅,D-2/D-1区间振幅,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
301182,凯旺科技,2023-07-17,7.07,3.7,19.82,4.04%,7.25%,468.62%,-11%/-5%(阴),-10%,-8%,-15%,-20%,-22%,-22%
301189,奥尼电子,2026-04-14,15.77,11.41,20.35,20.17%,25.12%,129.47%,16%/21%(板),24%,19%,22%,23%,23%,19%
301231,荣信文化,2025-10-21,5.4,5.99,16.86,7.59%,10.8%,307.22%,3%/16%(阴),24%(板),30%,26%,25%,16%,13%
301231,荣信文化,2026-01-12,13.38,21.89,17.38,26.99%,30.53%,133.1%,-7%/6%(阴),7%,-1%,-10%,-19%,-20%,-22%
301234,五洲医疗,2023-08-11,6.43,9.56,20.83,10.27%,17.53%,149.31%,8%/20%(板),38%,31%,23%,12%,2%,-3%
301236,软通动力,2024-09-30,9.93,11.64,13.6,17.42%,18.38%,102.11%,15%/20%(板),43%,31%,20%,35%(板),48%,25%
301288,清研环境,2024-08-12,4.9,18.22,7.35,8.61%,22.21%,161.01%,-9%/21%(板),44%,59%,73%,56%,28%,10%
301319,唯特偶,2025-06-26,3.49,3.99,14.09,4.36%,5.9%,529.89%,-6%/9%(阳),24%,25%,8%,6%,3%,0%
301349,信德新材,2025-06-24,3.63,5.49,20.68,5.88%,6.3%,397.68%,-4%/3%(阴),5%,1%,-1%,-1%,-3%,1%
301369,联动科技,2024-10-08,6.53,17.06,11.39,22.34%,24.17%,154.08%,-8%/10%(阳),-4%,-12%,-15%,-12%,-14%,-11%
301379,天山电子,2023-07-14,3.37,7.67,20.6,5.73%,8.36%,240.69%,7%/20%(阳),18%,37%,32%,20%,13%,8%
301389,隆扬电子,2024-05-23,6.04,7.05,17.47,8.81%,9.44%,249.07%,12%/20%(板),16%,5%,7%,3%,3%,-1%
301428,世纪恒通,2025-02-17,10.98,5.1,4.74,1.91%,10.98%,117.38%,0%/18%(阴),8%,3%,10%,8%,1%,-1%
301500,飞南资源,2024-04-03,18.44,13.44,22.67,20.52%,21.23%,157.18%,-6%/10%(阳),4%,1%,-1%,-3%,-15%,-20%
301578,辰奕智能,2024-10-08,16.19,17.46,15.59,28.29%,29.37%,130.56%,-19%/-3%(阴),-15%,-18%,-14%,-8%,-15%,-16%
301600,慧翰股份,2024-12-09,16.0,17.54,21.09,26.73%,28.3%,125.62%,-10%/4%(阴),-5%,-6%,-3%,-5%,-6%,5%
301628,强达电路,2026-05-22,5.5,7.83,18.26,-1.15%,8.11%,237.58%,0%/10%(阴),7%,2%,-1%,6%,3%,-6%
