股票代码,股票名称,D-0日期,D-2振幅,D-1涨幅,D-1振幅,D-0涨幅,D-0振幅,D-0/D-2成交额百分比,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价,T+7最高价
002519,银河电子,2023-11-01,11.55,-1.86,4.57,5.52,10.34,150.8%,143.42%,-4%/-1%(阴),-3%,1%,4%,2%,0%,-1%,0%
002520,日发精机,2026-08-14,11.02,-3.03,4.55,4.07,12.52,193.92%,132.02%,-3%/-1%(阳),5%,-1%,-8%,-11%,-10%,-7%,-4%
002528,*ST英飞,2026-08-25,11.13,7.1,7.46,-4.64,13.76,184.73%,120.86%,-1%/3%(阴),6%,16%,27%,30%,33%,33%,26%
002543,万和电气,2025-08-08,9.25,-0.54,5.94,7.44,11.71,249.48%,139.8%,-5%/-1%(阳),-5%,-7%,-8%,-9%,-8%,-8%,-9%
002544,普天科技,2015-05-12,10.11,7.79,7.84,2.55,7.92,123.42%,100.26%,-3%/-1%(阴),-1%,3%,1%,2%,9%,14%,17%
002545,东方铁塔,2026-01-19,9.76,-0.52,8.44,7.03,11.56,139.25%,101.73%,-6%/0%(阴),7%,16%,22%,21%,18%,15%,18%
002550,千红制药,2025-05-30,10.73,1.56,9.48,8.08,10.03,254.36%,128.81%,0%/10%(板),20%,13%,9%,12%,14%,14%,24%
002553,南方精工,2015-12-29,9.93,0.21,6.36,4.3,11.19,158.25%,124.85%,-4%/-1%(阴),-2%,-7%,-16%,-16%,-18%,-22%,-25%
002555,三七互娱,2014-01-09,12.11,4.58,7.66,5.43,11.05,198.67%,150.03%,-1%/9%(阳),4%,7%,10%,4%,7%,1%,4%
002555,三七互娱,2019-03-13,8.32,7.62,4.68,-5.06,11.9,199.35%,107.68%,-9%/-4%(阴),-7%,-7%,-3%,-5%,-7%,-7%,-10%
002561,徐家汇,2024-09-30,7.18,2.78,7.98,9.29,7.53,150.83%,102.34%,-3%/10%(阴),-3%,0%,4%,-3%,1%,-3%,-6%
002562,兄弟科技,2019-07-09,9.86,0.64,6.18,3.6,8.05,150.25%,121.95%,-3%/5%(阳),4%,0%,-3%,5%,4%,3%,1%
002567,唐人神,2019-02-19,10.83,7.13,7.13,3.73,9.45,132.87%,101.51%,0%/10%(阳),18%,14%,16%,21%,17%,11%,10%
002571,德力股份,2023-02-02,12.46,-1.62,6.07,0.82,10.29,167.88%,128.2%,-4%/-1%(阴),-3%,-3%,-3%,-4%,-3%,-3%,-3%
002575,群兴玩具,2026-01-28,11.71,-0.86,5.18,3.19,10.16,167.89%,138.91%,-3%/5%(阳),3%,11%(板),22%,13%,13%(板),14%,15%
002577,雷柏科技,2019-11-05,14.7,-2.03,5.42,2.77,5.93,247.05%,104.09%,-2%/2%(阳),1%,8%,14%(板),21%,17%,23%,18%
002578,闽发铝业,2021-02-22,7.4,2.92,9.36,2.27,7.67,206.19%,118.43%,-4%/9%(板),9%,9%,-1%,-3%,-5%,-3%,0%
002584,西陇科学,2023-08-15,10.13,-0.84,4.52,4.56,9.29,277.74%,106.35%,-4%/-2%(阴),-5%,-6%,0%,4%,8%,7%,12%
002590,万安科技,2019-02-25,11.19,-0.79,3.57,3.86,6.92,177.62%,113.14%,-3%/0%(阴),-2%,5%(板),12%,11%,14%,23%,17%
002594,比亚迪,2020-07-07,8.48,1.95,5.27,2.6,6.8,113.75%,108.66%,-1%/1%(阳),3%,11%,17%(板),17%,17%,15%,2%
002597,金禾实业,2013-12-09,9.65,-2.59,7.95,8.06,11.29,139.64%,110.57%,-4%/-2%(阳),0%,-3%,-4%,-1%,-6%,-8%,-8%
002608,江苏国信,2012-09-13,3.9,3.49,11.62,9.89,13.21,154.37%,140.86%,-6%/0%(阴),0%,-2%,-9%,-5%,-13%,-15%,-14%
002613,北玻股份,2014-07-09,10.68,-1.29,4.69,1.97,7.21,152.79%,128.35%,-3%/3%(阳),5%,2%,4%,3%,5%,4%,4%
002617,露笑科技,2024-12-18,10.53,-2.23,7.22,5.37,11.41,299.09%,167.19%,-3%/5%(阳),9%(板),20%(板),27%,11%,13%(板),18%,16%
002620,*ST瑞和,2015-11-27,9.95,5.01,10.63,-4.96,13.49,145.08%,115.11%,-10%/4%(阴),-3%,-10%,-9%,-9%,-12%,-13%,-16%
002620,*ST瑞和,2020-08-12,9.55,3.62,9.26,6.84,12.15,294.01%,108.06%,-7%/-3%(阴),-7%,-9%,-10%,-11%,-13%,-13%,-14%
002621,未找到标的,2022-12-19,11.81,1.26,12.84,7.07,17.88,153.45%,103.14%,-9%/-6%(阴),-14%,-12%,-11%,-12%,-10%,-14%,-16%
002622,皓宸医疗,2021-09-28,11.5,0.66,7.63,-9.23,17.46,125.34%,119.22%,-9%/-1%(阴),-12%,-11%,-14%,-15%,-14%,-17%,-18%
002623,亚玛顿,2021-06-24,9.55,1.62,5.12,8.15,5.41,521.26%,177.16%,-4%/1%(阳),5%,7%,14%,10%,9%,11%,10%
