股票代码,股票名称,D-0日期,D-2振幅,D-1涨幅,D-1振幅,D-0涨幅,D-0振幅,D-0/D-2成交额百分比,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价,T+7最高价
600006,东风股份,2021-07-23,9.83,2.82,3.67,4.88,10.12,113.54%,103.07%,-7%/0%(阴),3%,7%,15%,6%,5%,3%,1%
600007,中国国贸,2021-05-07,10.02,6.81,10.76,1.07,4.84,129.45%,117.79%,-1%/5%(阳),15%(板),27%(板),40%(板),54%,49%,55%(板),64%
600007,中国国贸,2021-08-31,7.32,2.6,9.62,6.25,15.1,388.02%,111.95%,-2%/9%(板),20%,19%,7%,5%,6%,0%,-1%
600016,民生银行,2023-05-08,9.37,4.01,4.76,6.99,9.4,190.53%,112.99%,-3%/0%(阴),-3%,-5%,-6%,-8%,-7%,-9%,-8%
600026,中远海能,2013-08-28,10.17,2.06,6.68,4.79,10.58,151.59%,116.33%,-3%/-1%(阳),7%(板),10%,1%,2%,1%,11%,20%(板)
600031,三一重工,2006-03-24,8.89,-2.02,7.5,8.69,11.63,192.88%,162.47%,-2%/6%(阳),3%,4%,2%,-2%,7%,15%,17%
600039,四川路桥,2007-05-30,9.22,2.21,5.91,3.54,17.96,136.05%,126.36%,-10%/0%(阴),-8%,-19%,-27%,-25%,-24%,-21%,-15%(板)
600059,古越龙山,2020-11-05,10.26,-0.92,4.0,4.65,8.48,250.13%,152.17%,-3%/-1%(阴),-1%,1%,6%,11%,7%,3%,7%
600062,华润双鹤,2022-03-28,7.7,6.22,11.95,7.19,8.92,413.69%,101.42%,-4%/9%(阳),2%,11%,8%,4%,-4%,-5%,0%(板)
600067,冠城新材,2022-06-02,10.19,0.25,16.04,3.25,13.25,178.59%,114.55%,-7%/0%(阴),-5%,-6%,-9%,-8%,-7%,-2%,-5%
600067,冠城新材,2025-10-16,10.03,4.41,9.41,6.2,15.49,489.94%,122.52%,-8%/-3%(阴),-6%,-3%,-4%,-5%,-5%,-6%,-2%
600070,未找到标的,2011-07-15,10.25,6.0,7.78,0.76,5.28,172.83%,101.82%,-3%/-1%(阴),-2%,-3%,-2%,0%,3%,5%,5%
600070,未找到标的,2019-05-07,10.94,-1.52,11.66,8.65,13.18,138.39%,105.52%,-8%/-3%(阴),-10%,-13%,-16%,-17%,-14%,-13%,-14%
600071,凤凰光学,2024-10-23,9.62,-5.27,6.28,5.97,10.87,192.25%,159.44%,-1%/5%(阳),11%,21%,19%,13%,11%,9%,5%
600072,中船科技,2016-12-15,10.66,2.09,8.7,6.2,11.92,170.33%,112.9%,-4%/0%(阴),-1%,-4%,0%,0%,-2%,-5%,-6%
600074,未找到标的,2000-02-16,9.58,1.08,6.38,6.67,13.96,365.51%,124.68%,-9%/0%(阴),-6%,-7%,-9%,-12%,-13%,-12%,-10%
600075,新疆天业,2020-01-14,9.33,-1.73,4.5,3.52,10.56,193.19%,100.91%,-5%/-1%(阴),-4%,-6%,-10%,-12%,-14%,-25%,-22%
600076,康欣新材,2025-12-23,10.49,0.32,3.17,5.38,7.91,130.64%,114.58%,-2%/4%(阳),1%,3%,3%,1%,1%,11%,10%
600077,未找到标的,2006-02-10,10.98,9.76,9.98,0.81,4.04,274.65%,121.0%,-3%/5%(阴),0%,3%,2%,-6%,-10%,-9%,-6%
600077,未找到标的,2022-08-18,11.59,3.68,8.42,6.6,8.38,217.09%,105.47%,-10%/-8%(阴),-14%,-16%,-20%,-21%,-17%,-17%,-16%
600091,未找到标的,2008-12-22,10.86,3.49,8.43,4.78,11.8,162.91%,102.74%,-9%/-1%(阴),-8%,-9%,-13%,-17%,-17%,-18%,-17%
600095,湘财股份,2019-12-10,10.83,0.36,4.32,3.47,10.41,104.61%,102.82%,-1%/3%(阳),1%,3%,4%,9%,6%,5%,7%
600096,云天化,2025-11-10,10.23,5.88,6.69,2.5,8.2,192.86%,135.51%,0%/2%(阳),-1%,3%,2%,0%,-1%,-5%,-5%
600100,同方股份,2024-10-23,7.67,-3.49,5.3,6.65,10.26,148.62%,129.55%,-3%/2%(阴),4%,1%,2%,9%(板),20%,12%,10%
600102,未找到标的,2000-05-25,9.93,9.15,9.15,7.26,9.05,317.89%,141.86%,-1%/10%(阳),16%,17%,26%(板),38%,37%,37%,41%
600103,青山纸业,2000-02-16,6.42,1.12,12.35,8.77,7.77,191.94%,120.44%,-7%/7%(阴),0%,5%,3%,-5%,-6%,-5%,-4%
600113,浙江东日,2013-07-10,11.2,-1.34,7.82,6.78,12.2,164.07%,140.84%,-4%/3%(阳),2%,0%,1%,2%,0%,-4%,-11%
600116,三峡水利,2015-02-26,9.41,4.85,6.67,-0.98,8.73,141.97%,103.5%,-2%/4%(阳),4%,1%,1%,1%,0%,-5%,-3%
600117,西宁特钢,2003-04-11,8.43,0.15,5.37,8.42,11.49,107.46%,101.09%,-4%/4%(阳),3%,1%,-2%,-4%,-7%,-6%,-8%
600126,杭钢股份,2024-12-18,9.66,-2.92,5.22,4.73,6.02,117.03%,105.92%,-7%/0%(阴),-3%,-6%,-9%,-11%,-4%(板),3%,6%
600127,金健米业,1999-06-16,10.0,-1.52,8.85,9.96,12.23,189.0%,128.17%,1%/7%(阳),8%,8%,4%,5%,8%,19%,25%(板)
600135,乐凯胶片,2009-02-04,9.49,3.1,5.53,4.94,9.01,118.68%,112.28%,-1%/3%(阳),10%,20%,29%,33%,33%,46%(板),60%
600138,中青旅,2022-12-01,10.79,3.37,9.3,-1.2,10.2,184.89%,106.48%,-1%/2%(阳),3%,8%,8%,13%,6%,7%,15%
600143,XD金发科,2025-02-07,6.88,0.78,4.69,3.78,7.27,127.53%,120.22%,-4%/0%(阴),-2%,-2%,-1%,-4%,-3%,-2%,5%(板)
600149,廊坊发展,2004-02-02,8.49,1.34,6.71,7.62,7.95,165.71%,115.46%,-2%/1%(阳),6%,3%,3%,9%,8%,8%,10%
600150,中国船舶,2007-05-30,9.58,7.27,10.0,0.58,17.29,165.57%,121.57%,-5%/6%(阳),3%,-1%,-3%,0%,1%,8%(板),14%
600151,航天机电,2025-12-02,11.24,4.41,7.96,5.56,12.56,262.04%,113.6%,-5%/10%(板),21%(板),33%(板),46%,44%(板),46%,41%,50%(板)
600156,华升股份,2025-02-28,11.09,-2.43,5.04,3.25,8.41,168.12%,115.32%,0%/3%(阳),0%,0%,-2%,-3%,-5%,-5%,-4%
600158,中体产业,2009-11-03,10.37,-0.23,5.06,2.65,9.79,143.09%,115.08%,-2%/2%(阳),2%,7%,5%,5%,2%,2%,2%
600158,中体产业,2014-04-15,12.08,2.65,5.1,5.06,10.7,165.71%,141.31%,-2%/2%(阳),3%,6%,4%,3%,3%,-2%,-4%
600162,香江控股,2013-01-14,10.04,1.3,5.59,8.46,12.13,285.56%,107.03%,-2%/2%(阳),4%,4%,8%,7%,6%,5%,5%
600172,黄河旋风,2010-10-27,9.27,1.56,8.08,9.92,12.06,204.96%,129.21%,-5%/3%(阴),1%,7%,12%,7%,2%,5%,3%
600173,卧龙新能,2003-04-23,10.24,-0.13,6.21,3.65,9.19,233.76%,212.12%,-7%/-2%(阴),-6%,-9%,-11%,-15%,-19%,-19%,-18%
600178,东安动力,2013-03-22,11.43,6.59,12.01,3.3,6.73,158.62%,108.32%,-3%/-1%(阴),6%,3%,2%,0%,-1%,-1%,-1%
600180,*ST瑞茂,2014-04-08,10.69,2.6,4.97,5.29,8.2,270.47%,133.6%,2%/8%(阳),8%,8%,7%,-5%,-4%,-9%,-9%
600183,生益科技,2002-06-26,3.2,2.71,8.24,5.57,11.7,287.84%,274.79%,-2%/1%(阳),2%,0%,2%,1%,0%,4%,5%
600184,光电股份,2014-07-02,10.43,5.36,9.53,6.48,8.95,121.69%,110.53%,-4%/-2%(阴),-2%,4%,1%,4%,-1%,-2%,5%
600184,光电股份,2020-07-22,9.26,-0.95,6.27,2.78,10.06,147.51%,122.05%,1%/4%(阳),5%,0%,5%,1%,2%,-2%,3%
600185,珠免集团,2005-11-29,11.78,-0.52,5.48,-1.31,9.19,199.47%,113.95%,-6%/-3%(阴),-5%,-5%,-10%,-13%,-12%,-11%,-11%
600188,兖矿能源,2022-08-29,9.68,-1.21,4.39,2.7,9.13,147.32%,147.01%,-7%/-1%(阴),-5%,-1%,-2%,5%,7%,9%,7%
600189,泉阳泉,2020-07-30,11.41,0.74,9.63,7.84,14.95,206.08%,108.62%,-6%/-1%(阴),-1%,4%,1%,4%,0%,9%(板),13%
600198,大唐电信,2018-04-20,14.14,4.36,10.56,5.06,13.64,154.49%,104.59%,-8%/-2%(阴),-6%,-7%,-15%,-20%,-24%,-20%,-16%
600209,未找到标的,2014-09-23,10.28,3.95,7.23,5.47,7.51,217.36%,106.78%,-2%/2%(阳),4%,6%,2%,0%,-4%,-3%,-3%
600211,西藏药业,2023-02-02,8.8,5.38,6.22,8.71,9.73,213.29%,147.79%,-6%/0%(阴),0%,-2%,-4%,-3%,-4%,-4%,-3%
600212,绿能慧充,2011-05-26,11.7,-0.69,7.55,7.25,11.57,262.49%,126.86%,-9%/-2%(阴),-11%,-11%,-4%,-3%,-3%,-3%,0%
600216,浙江医药,2024-08-02,14.0,6.55,7.05,2.7,5.2,118.99%,102.83%,-9%/-1%(阴),-5%,0%,7%(板),15%,8%,-1%,-3%
600217,中再资环,2020-08-06,10.32,-2.22,7.0,3.14,11.52,169.47%,102.48%,-2%/4%(阳),0%,-1%,1%,4%,7%,7%,6%
600217,中再资环,2022-11-03,9.2,7.31,7.1,-2.53,10.51,326.39%,102.32%,-1%/6%(阳),9%,6%,8%,17%,14%,8%,7%
600230,沧州大化,2015-12-24,10.37,5.47,9.94,6.96,12.35,173.11%,100.9%,-4%/0%(阴),5%,5%,2%,1%,-1%,-7%,-7%
600231,凌钢股份,2017-06-28,10.44,0.0,4.59,1.83,7.65,154.18%,104.91%,-2%/0%(阳),0%,3%,2%,2%,6%,5%,9%
600232,金鹰股份,2011-07-07,7.96,2.55,7.1,5.23,12.55,170.77%,145.42%,-1%/8%(阳),14%(板),14%,13%,22%,16%,17%,19%
600236,桂冠电力,2014-09-16,11.27,5.12,6.91,-0.73,10.22,191.45%,107.09%,-5%/-1%(阴),-2%,-2%,-3%,-4%,-4%,-1%,-1%
600238,ST椰岛,2008-01-16,9.99,3.21,7.38,5.09,8.59,188.19%,167.18%,-5%/7%(阴),2%,2%,-4%,-2%,5%,9%,6%
600247,未找到标的,2012-08-13,11.39,3.91,8.05,9.51,11.73,419.4%,150.62%,-9%/-4%(阳),5%,-2%,-10%,-9%,-9%,-11%,-12%
600248,陕建股份,2015-11-30,9.51,-3.28,9.33,7.51,11.71,184.35%,157.9%,-8%/-3%(阴),-7%,-12%,-12%,-13%,-14%,-17%,-17%
600249,两面针,2007-08-15,10.69,6.59,10.31,0.1,18.17,145.63%,123.55%,-4%/0%(阴),-1%,0%,4%,3%,4%,1%,1%
600250,南京商旅,2025-06-05,7.88,1.26,5.06,3.02,8.01,184.8%,101.95%,-2%/5%(阳),12%(板),24%,29%(板),42%(板),46%,34%,22%
600252,中恒集团,2012-05-07,10.48,1.98,6.15,7.68,11.67,226.42%,104.07%,-1%/0%(阴),0%,5%,3%,5%,2%,-3%,-1%
600255,鑫科材料,2015-03-04,11.05,8.75,10.21,0.89,9.84,190.62%,116.72%,-4%/9%(阳),11%,7%,10%,5%,5%,3%,5%
600255,鑫科材料,2024-03-22,5.32,0.48,7.25,7.21,12.98,242.58%,123.51%,-9%/-4%(阴),-9%,-13%,-12%,-13%,-12%,-9%,-3%(板)
600258,首旅酒店,2006-12-20,10.2,5.49,9.15,4.88,10.09,125.57%,105.94%,-6%/0%(阳),8%,9%,7%,0%,4%,0%,2%
600262,北方股份,2011-03-18,10.32,-1.33,4.74,2.11,7.63,130.91%,118.03%,-2%/4%(阳),4%,1%,3%,3%,4%,1%,-4%
600262,北方股份,2012-08-14,9.97,2.11,5.39,-2.07,5.67,106.26%,101.98%,0%/10%(板),20%,11%,10%,17%,12%,10%,9%
600278,东方创业,2023-06-13,10.35,-1.61,6.32,2.64,11.21,181.07%,118.02%,-4%/-1%(阴),-4%,-6%,-7%,-8%,-8%,-7%,-7%
600283,钱江水利,2015-05-27,8.36,5.06,6.49,1.18,11.12,117.78%,102.83%,-9%/1%(阴),-8%,-9%,-2%,2%,-1%,0%,-4%
600291,未找到标的,2020-05-07,5.38,1.06,3.57,2.88,6.8,103.58%,102.71%,0%/2%(阳),5%,4%,3%,2%,2%,0%,1%
600293,三峡新材,2007-03-28,9.04,3.47,7.48,2.82,6.7,199.4%,136.3%,-8%/0%(阴),-6%,-3%,-3%,-4%,-2%,0%,2%
600293,三峡新材,2019-07-15,10.03,-2.05,3.87,4.42,7.91,186.83%,116.51%,-2%/0%(阳),-2%,1%,1%,2%,7%,6%,4%
600297,未找到标的,2015-03-04,9.91,-1.12,5.24,4.38,10.38,112.5%,102.79%,-2%/1%(阴),-1%,0%,3%,4%,7%,4%,4%
600303,曙光股份,2009-05-05,10.29,3.99,4.9,7.35,12.06,131.95%,112.56%,-3%/3%(阴),-1%,-3%,-5%,-5%,-3%,-6%,-5%
600306,未找到标的,2007-07-23,10.96,9.1,12.93,4.57,9.75,173.2%,120.82%,-4%/3%(阴),-2%,2%,3%,9%,5%,1%,-4%
600316,洪都航空,2017-07-26,11.31,-0.06,4.57,6.51,9.66,199.76%,105.7%,-3%/0%(阴),0%,-4%,-4%,-8%,-9%,-1%(板),1%
600321,未找到标的,2021-04-30,11.56,-5.94,8.22,7.77,12.62,188.88%,130.05%,-5%/-2%(阳),-5%,-5%,-5%,-1%,-1%,-1%,-1%
600336,澳柯玛,2007-08-01,9.65,6.08,10.32,0.45,10.91,141.55%,109.21%,1%/8%(阳),9%,5%,4%,2%,-1%,-2%,-5%
600336,澳柯玛,2020-03-09,7.31,3.55,11.9,5.52,10.0,178.52%,100.12%,-10%/-3%(阴),-12%,-18%,-22%,-21%,-23%,-22%,-28%
600336,澳柯玛,2024-07-30,8.19,2.93,10.84,9.21,11.4,170.28%,111.84%,-2%/5%(阳),11%,11%,2%,5%(板),7%,1%,3%
600336,澳柯玛,2024-09-18,3.13,1.14,13.07,6.55,13.3,199.38%,100.9%,-4%/0%(阳),0%,-5%,-5%,0%,5%(板),12%,19%
600339,中油工程,2020-08-07,10.98,-3.45,6.21,6.07,8.57,141.65%,121.61%,-3%/6%(阳),2%,0%,0%,-4%,-2%,0%,0%
600343,航天动力,2022-07-11,10.29,-2.36,5.24,5.64,9.31,175.1%,115.85%,-4%/-2%(阴),-3%,-3%,-5%,-13%,-5%(板),4%(板),14%
600345,长江通信,2009-12-04,9.74,4.98,7.98,3.54,13.48,181.1%,105.35%,-3%/0%(阴),-3%,-5%,-6%,-6%,-8%,-7%,-8%
600354,敦煌种业,2008-04-28,7.64,-1.74,11.77,9.93,15.29,147.55%,143.93%,-5%/-1%(阴),0%,1%,-2%,-6%,-9%,-4%,-2%
600354,敦煌种业,2017-07-20,10.18,1.54,4.03,2.22,7.94,125.21%,107.41%,-1%/9%(阳),17%,8%,13%,11%,6%,7%,7%
600358,国旅联合,2022-06-01,10.02,-1.17,4.7,2.97,8.92,130.64%,114.65%,-7%/-2%(阴),-5%,-5%,-8%,-10%,-10%,-9%,-7%
600359,新农开发,2014-05-29,8.42,4.67,7.65,4.46,13.01,255.87%,119.18%,-2%/4%(阴),-2%,-5%,-6%,-6%,-9%,-7%,-6%
600359,新农开发,2022-08-24,8.58,-0.65,6.39,4.47,11.12,142.99%,110.08%,-3%/1%(阳),2%,-2%,5%,-1%,4%(板),9%,5%
600367,红星发展,2017-09-12,10.54,2.61,5.95,-1.7,9.91,144.96%,100.33%,-3%/10%(板),17%,14%,12%,15%,17%,14%,5%
600368,五洲交通,2025-04-08,11.04,-4.33,12.2,6.58,10.7,183.2%,110.15%,-10%/7%(阳),11%,13%,12%,6%,-5%,-10%,-12%
600372,中航机载,2014-09-02,5.65,4.88,6.91,5.56,9.75,142.76%,117.96%,-3%/0%(阳),2%,-2%,-1%,-2%,-1%,1%,3%
600372,中航机载,2020-08-10,11.02,7.85,13.19,-7.32,13.79,140.3%,100.34%,-4%/3%(阳),-4%,-5%,-2%,1%,0%,0%,-3%
600381,*ST春天,2023-08-01,10.51,3.03,8.09,5.13,11.78,202.23%,124.27%,-4%/2%(阳),2%,0%,-4%,-4%,-4%,-6%,-6%
600382,广东明珠,2011-04-08,11.56,3.22,6.36,2.05,9.2,206.49%,100.74%,-1%/3%(阳),5%,1%,5%,12%,10%,9%,6%
600390,五矿资本,2010-09-02,9.81,8.39,6.75,7.56,12.64,385.73%,105.16%,-5%/-1%(阴),0%,-3%,2%,6%,2%,4%,5%
600395,盘江股份,2007-07-27,9.73,0.32,5.07,6.67,12.8,143.45%,106.75%,0%/9%(阳),15%,10%,6%,10%,8%,13%,10%
600395,盘江股份,2022-04-15,9.95,7.68,8.42,-7.92,12.61,224.13%,102.4%,-7%/0%(阴),-4%,-6%,-11%,-14%,-19%,-23%,-20%
600396,华电辽能,2026-03-10,10.51,-0.82,7.92,6.89,8.82,191.72%,100.09%,-6%/1%(阳),9%,6%,10%(板),21%(板),33%(板),46%(板),61%(板)
600397,江钨装备,2011-04-11,10.17,-1.2,6.08,2.49,7.98,129.39%,118.95%,-2%/-1%(阳),2%,0%,0%,3%,4%,1%,-1%
600399,抚顺特钢,2014-12-08,10.41,9.74,13.36,4.59,7.4,151.97%,117.2%,-10%/3%(阴),-5%,1%,10%,5%(板),7%,4%,2%
600410,华胜天成,2021-06-10,9.82,4.67,9.87,5.35,13.38,366.42%,102.76%,-3%/1%(阳),-2%,-3%,-1%,-3%,-1%,-2%,-4%
600410,华胜天成,2023-10-20,11.0,-1.89,6.22,4.68,9.37,227.43%,105.71%,-2%/9%(阴),6%,7%,6%,1%,6%(板),11%,6%
600418,江淮汽车,2018-11-26,10.29,-5.53,6.68,5.05,10.51,184.84%,104.74%,0%/6%(阳),2%,5%,4%,8%,7%,4%,6%
600446,金证股份,2022-02-11,9.79,-1.82,5.27,3.27,11.59,155.06%,140.6%,-4%/0%(阴),3%,3%,5%,10%(板),12%,7%,4%
600449,宁夏建材,2009-11-24,11.07,4.9,7.78,0.22,6.73,128.73%,110.9%,0%/10%(阳),9%,3%,4%,8%,7%,7%,7%
600477,杭萧钢构,2025-12-31,11.15,-4.73,2.7,5.32,9.22,160.32%,146.83%,-3%/-1%(阴),-2%,4%,10%(板),21%(板),33%(板),46%(板),59%
600479,千金药业,2024-11-25,10.35,7.24,9.83,-0.85,13.59,332.56%,110.87%,-4%/4%(阳),-2%,-3%,-7%,-8%,-8%,-11%,-12%
600490,鹏欣资源,2017-08-30,2.28,-3.22,5.17,5.11,9.86,266.46%,106.03%,5%/10%(板),17%,12%,10%,13%,10%,10%,11%
600491,ST龙元,2021-08-30,9.26,5.05,7.16,9.02,7.82,324.63%,143.63%,0%/6%(阳),6%,11%,17%,21%,18%,21%,19%
600495,晋西车轴,2013-07-25,9.79,4.86,5.76,-0.21,8.49,164.99%,125.22%,-4%/0%(阳),-1%,2%,1%,-1%,0%,-1%,-2%
600496,精工钢构,2025-10-17,10.94,-3.32,4.03,3.92,6.62,176.47%,112.33%,-1%/2%(阳),1%,1%,-2%,-1%,-2%,0%,0%
600497,驰宏锌锗,2013-12-02,9.87,0.48,4.39,5.32,13.59,148.36%,132.15%,-3%/0%(阳),-1%,-1%,-3%,-3%,-2%,-4%,-7%
600505,西昌电力,2023-06-01,11.16,-3.89,10.04,5.96,9.1,162.98%,150.21%,-3%/8%(阳),-1%,-4%,-8%,-8%,-9%,-9%,-10%
600515,海南机场,2024-11-07,10.53,0.25,6.3,3.52,10.55,157.61%,100.78%,-2%/3%(阴),-3%,-5%,-3%,-3%,-1%,-4%,-6%
600518,康美药业,2007-01-17,10.58,4.11,5.07,3.53,7.4,105.77%,102.0%,-2%/4%(阳),5%,6%,5%,2%,1%,-1%,-2%
600523,贵航股份,2012-08-28,9.56,-1.24,6.31,6.28,10.68,206.78%,118.05%,-3%/2%(阴),-2%,-4%,-3%,-4%,-2%,-3%,1%
600526,XD菲达环,2012-11-20,0.0,3.87,11.94,5.05,12.74,343.83%,102.71%,-5%/-2%(阳),-1%,-6%,-5%,-6%,-14%,-14%,-15%
600540,新赛股份,2023-07-14,6.53,-2.1,4.97,4.1,8.59,137.74%,104.12%,-3%/5%(阳),2%,3%,4%,1%,-1%,-1%,-1%
600547,山东黄金,2012-01-19,9.17,-0.77,4.09,6.39,10.51,148.47%,133.79%,-3%/1%(阳),6%,3%,4%,0%,4%,3%,1%
600555,未找到标的,2015-05-22,11.17,9.64,11.72,1.9,11.8,119.64%,107.58%,-4%/9%(阳),18%,17%,17%,10%,17%,5%,-5%
600559,老白干酒,2021-04-20,9.78,7.23,10.47,-0.25,10.78,138.43%,104.73%,-2%/5%(阳),5%,7%,3%,-1%,4%,-2%,-6%
600577,精达股份,2024-12-02,7.78,3.62,8.72,6.67,12.54,173.72%,112.8%,-5%/-2%(阴),-1%,-2%,-1%,5%,4%,1%,0%
600580,卧龙电驱,2021-11-23,11.06,-0.35,4.14,1.6,7.89,200.43%,159.41%,0%/5%(阳),4%,3%,12%,17%,16%,19%,16%
600582,天地科技,2020-03-05,3.47,-3.72,4.58,4.76,10.12,164.61%,118.14%,-1%/3%(阳),2%,-1%,-1%,-5%,-9%,-8%,-11%
600584,长电科技,2009-07-30,9.69,-0.53,9.15,4.78,9.2,137.77%,100.45%,-2%/1%(阳),3%,7%,7%,3%,0%,-3%,-2%
600589,大位科技,2009-04-15,8.28,1.65,5.14,8.66,11.73,147.93%,105.24%,-5%/5%(阳),4%,3%,1%,2%,-5%,-4%,-4%
600592,龙溪股份,2014-02-24,7.47,1.09,8.48,5.4,9.47,158.56%,113.71%,-6%/0%(阴),-4%,5%,-1%,0%,-2%,-2%,-4%
600601,方正科技,2020-08-07,9.15,-1.29,7.21,9.36,11.61,150.21%,131.47%,-8%/1%(阴),-2%,-7%,-4%,-7%,-9%,-6%,-7%
600601,方正科技,2025-06-09,10.72,-1.48,2.54,3.23,3.87,103.1%,100.55%,-1%/1%(阴),9%,4%,2%,0%,-1%,1%,3%
600604,市北高新,2023-12-07,11.18,-4.99,3.07,3.43,10.51,116.83%,105.08%,-2%/1%(阴),-2%,2%,2%,4%,6%,0%,-3%
600609,金杯汽车,2022-06-30,10.08,-2.44,7.79,5.32,17.06,228.81%,139.4%,-5%/4%(阳),-3%,-7%,-10%,-6%,-7%,-9%,-6%
600612,老凤祥,2000-02-16,9.49,-1.44,7.61,5.49,7.72,119.22%,107.32%,-4%/2%(阴),-2%,0%,-1%,-2%,1%,7%,8%
600619,海立股份,2006-05-24,10.46,6.06,15.2,-0.56,12.54,140.26%,124.68%,-1%/3%(阳),2%,-1%,-2%,-2%,-3%,-3%,-4%
600620,天宸股份,2021-05-31,0.61,-0.41,7.47,7.08,11.53,127.55%,114.18%,-1%/8%(阳),5%,7%,4%,1%,-2%,-1%,-2%
600622,光大嘉宝,2013-01-04,10.15,3.27,6.7,4.61,9.08,156.62%,108.2%,-3%/0%(阳),-1%,1%,4%,1%,-1%,-1%,-2%
600624,ST复华,1999-08-25,6.36,3.56,7.13,7.19,8.33,321.7%,113.32%,-3%/1%(阴),5%,1%,-1%,-2%,3%(板),10%,9%
600630,龙头股份,1999-04-09,10.62,3.98,4.12,4.92,9.97,203.05%,107.5%,-1%/6%(阴),2%,5%,1%,2%,4%,12%,11%
600631,未找到标的,2007-05-08,11.37,9.11,9.31,0.93,9.56,122.54%,102.33%,-9%/5%(阴),0%,-2%,-5%,-4%,-7%,-7%,-6%
600633,浙数文化,2023-08-24,8.45,5.2,9.17,-1.12,11.72,213.67%,124.16%,-6%/1%(阴),0%,-2%,2%,4%,9%,5%,2%
600638,新黄浦,2022-11-29,9.64,-1.14,5.84,4.6,7.22,161.41%,114.21%,-1%/1%(阴),0%,-2%,-2%,-3%,-5%,-5%,-4%
600639,浦东金桥,2022-03-04,5.33,2.23,4.69,7.44,10.68,228.05%,130.96%,-1%/4%(阳),2%,1%,0%,-1%,0%,-2%,-4%
600641,先导基电,2021-07-27,9.79,7.0,10.92,-1.24,10.4,134.45%,100.9%,-9%/0%(阴),5%,5%,9%,5%,-1%,2%,2%
600647,未找到标的,2016-12-27,11.43,1.47,11.45,7.65,11.89,204.34%,146.73%,-10%/-3%(阴),-9%,-11%,-17%,-16%,-13%,-14%,-17%
600648,外高桥,1999-11-19,8.77,4.74,5.97,7.03,11.5,328.2%,111.36%,-3%/1%(阳),2%,-1%,-2%,-3%,-3%,-5%,-3%
600651,飞乐音响,2026-01-14,9.82,2.02,8.93,2.92,9.33,126.22%,111.68%,-1%/4%(阳),4%,1%,-5%,-5%,-5%,2%,-1%
600652,未找到标的,2000-01-07,10.7,5.55,9.81,6.79,12.21,242.91%,233.46%,-2%/4%(阳),2%,-2%,-7%,-8%,-8%,-8%,-6%
600653,申华控股,2008-01-15,6.46,1.96,3.64,6.58,11.52,118.72%,105.33%,-3%/2%(阳),-1%,-3%,-4%,-13%,-15%,-9%,-11%
600661,昂立教育,1999-05-24,3.33,5.98,4.92,2.22,9.29,393.53%,100.45%,-4%/2%(阴),-2%,8%(板),11%,6%,12%,15%,20%
600661,昂立教育,2022-11-18,10.43,-1.11,6.76,3.16,9.49,245.46%,149.86%,-6%/0%(阴),4%(板),3%,0%,3%,-5%,-5%,0%
600662,外服控股,2022-04-21,10.52,1.72,6.27,4.31,11.86,298.03%,172.12%,-10%/-1%(阴),-12%,-21%,-26%,-19%,-18%(板),-16%,-19%
600664,哈药股份,2015-06-15,10.04,5.99,8.3,7.64,11.88,159.81%,121.67%,-3%/1%(阴),2%,2%,-8%,-14%,-12%,-12%,-22%
600665,天地源,2015-12-17,9.56,0.61,3.92,1.95,7.66,106.58%,102.12%,-5%/0%(阴),-5%,-5%,-5%,-7%,-6%,-7%,-12%
600671,天目药业,2026-01-21,9.94,1.48,5.73,8.47,8.66,209.08%,114.08%,-10%/2%(阴),-8%,-12%,-14%,-14%,-16%,-14%,-15%
600676,久事动娱,2024-07-12,10.0,-1.62,5.19,3.3,7.92,132.2%,124.01%,-3%/7%(阴),6%(板),17%(板),29%(板),41%,25%,25%,16%
600677,未找到标的,2014-09-04,9.99,1.97,5.2,3.46,10.43,136.34%,100.7%,-3%/-2%(阳),1%,2%,1%,0%,4%,2%,-3%
600681,百川能源,1997-04-02,11.63,7.1,11.78,-1.25,7.75,123.44%,107.05%,-1%/3%(阳),3%,5%,5%,9%(板),16%,10%,13%
600683,京投发展,2023-02-02,10.99,-1.35,2.5,2.92,7.6,155.77%,110.46%,-4%/-2%(阴),-3%,-3%,-4%,-4%,-3%,-3%,-3%
600689,上海三毛,2007-01-05,9.82,4.05,7.57,4.94,9.09,131.05%,123.29%,-5%/0%(阳),0%,1%,4%,0%,-3%,-2%,-4%
600691,潞化科技,2015-04-01,11.28,-3.19,5.55,6.94,8.51,108.11%,100.89%,-2%/0%(阳),2%,1%,6%,3%,0%,3%,6%
600696,未找到标的,2016-09-28,10.9,-0.51,4.99,0.15,7.89,152.26%,102.26%,-4%/6%(阳),6%,5%,5%,8%,6%,6%,5%
600706,曲江文旅,2023-03-21,9.39,-2.77,3.31,-1.11,6.8,129.53%,110.19%,0%/3%(阳),1%,3%,7%,11%,10%,9%,9%
600708,光明地产,2020-03-04,9.52,-1.86,5.57,7.89,10.73,224.93%,164.84%,-2%/1%(阳),-1%,-5%,-6%,-5%,-7%,-2%,5%
600718,东软集团,2001-09-12,12.77,1.12,3.71,3.31,7.59,123.43%,117.49%,-2%/0%(阴),-1%,-3%,-1%,3%,2%,0%,0%
