股票代码,股票名称,D-0日期,D-2涨幅,D-2振幅,D-1振幅,D-0涨幅,D-0振幅,D-2~D-0区间振幅,D-0/D-2成交额百分比,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
600158,,2007-04-17,6.43,6.98,7.88,1.83,6.93,20.62%,141.45%,113.64%,-2%/0%(阴),8%,18%(板),30%(板),43%,-22%,-15%
600158,,2007-12-11,6.31,9.58,12.22,-6.06,11.02,23.94%,184.27%,130.11%,-3%/7%(阳),5%,9%(板),20%,14%,23%,24%
600158,,2013-05-28,5.46,5.63,10.52,4.25,8.35,19.89%,207.08%,131.16%,-3%/-2%(阴),-1%,-2%,-6%,-6%,-8%,-2%
600160,,2022-07-19,3.4,7.44,10.82,3.86,8.59,19.33%,108.87%,100.42%,0%/2%(阳),0%,-1%,-1%,-2%,-2%,2%
600162,,2011-03-18,5.19,8.38,12.71,9.83,11.38,27.94%,1024.79%,152.44%,-5%/0%(阳),-3%,5%,1%,2%,8%,3%
600162,,2014-02-20,1.81,4.7,10.66,0.32,6.62,17.9%,391.13%,159.28%,-4%/0%(阳),3%,-1%,-1%,0%,-1%,5%
600169,,1999-06-25,7.25,6.94,12.46,4.92,9.31,29.33%,190.99%,128.81%,11%/10%(板),21%(板),33%,26%,-19%,-21%(板),-17%
600169,,2019-02-27,5.45,6.61,11.07,-2.68,6.38,19.07%,234.9%,183.84%,-3%/-1%(阴),1%,6%,7%,7%,14%,11%
600170,,2026-01-14,1.47,1.47,11.59,0.99,9.21,18.38%,637.84%,127.67%,-4%/-1%(阴),-1%,-4%,-5%,-5%,-3%,-3%
600171,,2000-07-14,4.79,6.43,9.18,4.49,5.99,20.7%,406.77%,147.23%,-2%/0%(阴),3%,1%,0%,-3%,-5%,-7%
600171,,2012-02-29,1.51,4.14,11.13,-2.36,6.91,15.63%,273.46%,125.43%,0%/10%(板),18%,25%,22%,20%,21%,20%
600172,,2010-12-14,3.22,3.98,7.57,7.83,7.29,23.37%,403.72%,237.48%,-2%/7%(阳),3%,0%,0%,-1%,2%,-2%
600172,,2020-02-26,2.9,6.88,13.38,-1.28,8.01,20.65%,443.48%,156.36%,-6%/-1%(阴),-7%,-2%(板),8%(板),12%,14%,19%(板)
600175,,2000-02-15,2.16,8.27,6.98,8.21,11.12,25.09%,572.86%,283.2%,-3%/9%(阴),9%,3%,1%,-2%,-5%,-4%
600178,,2025-02-11,2.81,5.35,3.41,0.08,8.46,18.95%,283.59%,176.22%,-3%/-1%(阳),0%,-1%,-3%,-4%,-5%,-4%
600179,,2000-06-06,8.85,9.41,3.3,1.5,9.01,24.2%,324.83%,314.41%,-3%/2%(阴),9%,5%,-1%,-1%,5%,3%
600179,,2008-02-22,6.91,10.02,12.61,3.72,8.13,23.62%,242.85%,113.22%,-10%/0%(阴),-4%,-8%,-1%,-4%,3%,11%
600180,,2013-07-29,2.46,5.2,5.78,8.21,5.0,24.42%,658.69%,502.85%,-8%/-2%(阴),4%(板),6%,4%,3%,5%,1%
600180,,2023-12-15,1.46,3.08,9.28,-3.49,4.22,12.01%,417.32%,136.44%,-2%/0%(阳),-1%,-3%,-4%,-5%,-8%,-8%
600183,,2000-06-06,6.72,4.58,9.81,8.59,8.91,26.59%,326.97%,272.84%,1%/6%(阳),4%,5%,4%,10%,11%,9%
600183,,2020-02-25,4.76,6.62,8.71,4.59,12.08,19.46%,172.53%,169.29%,-10%/-2%(阴),-6%,-5%,0%(板),9%,-2%,0%
600184,,2025-12-11,4.29,7.65,12.07,1.66,8.56,27.56%,243.87%,179.63%,-7%/1%(阴),-4%,-6%,-9%,-11%,-12%,-13%
600185,,2024-11-26,6.08,11.89,4.2,-9.95,16.2,25.95%,219.28%,207.41%,-5%/8%(阳),5%,0%,5%,6%,10%,4%
600186,,2026-04-24,6.18,10.01,11.29,-3.28,9.42,22.74%,139.2%,123.63%,-1%/4%(阳),11%,18%(板),26%,26%,25%,18%
600188,,2011-03-08,7.09,10.71,8.99,3.1,5.71,23.88%,190.45%,108.88%,-1%/1%(阳),0%,-4%,-5%,-7%,-6%,-3%
600191,,2020-07-07,4.27,6.08,8.35,0.43,8.01,22.82%,204.8%,158.8%,-2%/2%(阳),3%,1%,5%,6%,9%,0%
600193,,2024-04-09,3.39,11.76,11.82,5.17,16.7,27.15%,680.48%,515.72%,-10%/-11%(阴),-16%,-19%,-24%,-35%,-34%,-32%
600197,,2007-05-08,4.18,5.91,9.51,5.08,5.15,25.09%,166.86%,153.2%,-7%/2%(阴),-1%,2%,-3%,-4%,-6%,-7%
600198,,2025-05-21,2.94,4.66,10.97,-0.11,6.83,19.39%,429.33%,221.28%,-4%/-1%(阴),-4%,-5%,-6%,-5%,-4%,-5%
600199,,2016-05-04,5.37,7.04,11.78,-0.31,6.59,21.0%,275.96%,148.09%,-3%/0%(阴),-1%,-3%,0%,8%,1%,6%
600199,,2020-11-13,4.37,10.45,13.31,-3.69,10.94,23.28%,218.17%,166.94%,-1%/10%(板),21%(板),27%,31%,31%,38%(板),50%
600200,,2006-10-20,4.14,8.49,9.94,-9.22,10.67,16.98%,202.77%,159.48%,-9%/-4%(阴),-19%,-21%,-22%,-30%,-33%,-34%
600200,,2019-03-08,4.67,6.28,10.71,1.04,14.39,26.57%,268.58%,174.02%,-2%/4%(阳),4%,1%,-3%,-6%,-6%,-5%
600201,,2002-06-25,6.55,5.94,5.63,3.36,6.15,21.52%,614.39%,138.03%,-2%/0%(阴),-1%,-1%,-2%,-2%,-2%,-1%
600202,,2009-09-22,-2.8,7.93,11.18,0.94,5.86,15.93%,172.76%,160.96%,-4%/6%(阴),0%,-2%,-3%,-7%,-7%,-4%
600203,,2019-01-08,6.5,11.66,10.74,-3.82,10.52,26.91%,274.73%,144.51%,-1%/3%(阳),1%,1%,0%,-1%,-1%,-4%
600206,,2011-03-30,3.14,5.45,10.19,-3.69,9.22,17.01%,245.58%,119.96%,-9%/-1%(阴),-6%,-8%,-9%,-7%,-8%,-12%
600208,,2017-03-16,6.38,7.52,7.28,-1.56,4.86,20.27%,332.32%,112.51%,-2%/1%(阴),0%,-1%,-1%,-2%,-4%,-3%
600208,,2019-02-26,7.35,8.63,7.74,-0.54,9.19,28.12%,189.23%,104.81%,-1%/2%(阳),2%,1%,5%,3%,5%,14%
600209,,2008-11-20,-7.32,10.57,11.4,1.99,7.17,19.51%,201.35%,152.11%,-10%/0%(阴),-5%,-2%(板),1%,5%,-2%,-3%
600210,,2021-07-20,7.97,8.88,11.41,2.13,8.99,24.64%,134.55%,131.49%,0%/8%(阳),11%,9%,8%,15%,9%,12%
600212,,2019-03-06,1.85,5.56,9.77,1.86,9.3,19.21%,218.61%,150.78%,-3%/9%(阳),6%,1%,5%,3%,-2%,-3%
600212,,2021-11-12,5.29,9.41,10.34,0.0,7.87,21.18%,193.87%,138.09%,0%/5%(阳),9%,2%,7%,6%,15%(板),26%(板)
600215,,2007-08-03,-1.87,8.6,8.1,1.47,5.89,15.7%,162.3%,100.47%,-1%/6%(阳),3%,4%,0%,-2%,-9%,-9%
600215,,2012-04-26,0.83,7.5,0.62,-1.32,10.53,25.42%,492.95%,257.19%,-8%/-2%(阴),-4%,-6%,-6%,-3%,-2%,-1%
600216,,2015-03-19,0.77,2.49,9.98,1.63,4.89,16.85%,252.71%,155.98%,0%/1%(阴),3%,3%,3%,2%,5%,5%
600218,,2010-01-13,2.16,6.68,10.48,5.07,10.66,21.61%,199.08%,168.5%,-1%/4%(阳),5%,2%,8%,5%,2%,2%
600218,,2025-11-07,1.86,3.2,10.04,-0.92,11.15,24.07%,825.04%,329.5%,-1%/4%(阳),2%,0%,-3%,-2%,1%,0%
600222,,2010-09-13,1.06,4.5,9.31,-1.67,10.37,19.21%,265.38%,134.01%,-3%/1%(阳),1%,-2%,-5%,-5%,-10%,-7%
600223,,2004-09-22,3.91,4.88,6.2,2.22,8.03,26.56%,1000.47%,291.56%,-10%/-3%(阳),-2%,-6%,-8%,-9%,-11%,-10%
600227,,2012-02-13,1.62,2.78,10.71,-0.83,4.14,15.05%,545.94%,126.98%,-2%/-1%(阴),-1%,0%,-1%,-2%,0%,0%
600230,,2005-02-23,5.68,7.5,6.88,0.0,4.69,19.55%,311.65%,111.07%,-2%/-1%(阴),1%,-1%,-2%,-1%,-3%,-3%
600231,,2015-08-20,0.0,11.68,10.03,6.53,6.94,25.3%,206.88%,167.01%,-9%/-4%(阴),-16%,-27%,-28%,-33%,-31%(板),-33%
600231,,2017-02-13,2.71,5.42,10.56,-2.4,7.51,18.98%,234.38%,158.68%,0%/10%(板),20%,18%,12%,13%,14%,15%
600231,,2017-08-04,6.56,9.71,12.56,9.17,7.16,30.18%,209.36%,156.92%,-5%/5%(阴),2%,8%(板),13%,3%,1%,-2%
600231,,2023-07-27,0.89,1.78,10.13,3.2,14.8,22.67%,1570.35%,179.93%,-5%/0%(阳),0%,5%,-1%,-2%,-2%,-3%
600232,,2022-02-21,2.6,6.69,10.51,-1.15,9.06,20.07%,410.32%,183.48%,-2%/9%(板),20%(板),14%,3%,-1%,0%,0%
600246,,2004-08-31,3.6,6.19,7.17,0.1,6.42,22.07%,468.16%,108.58%,-3%/0%(阴),1%,0%,-1%,-1%,-1%,-2%
600249,,2022-11-22,2.82,6.59,11.17,-7.65,10.15,14.12%,240.19%,145.76%,-6%/-1%(阴),-6%,-8%,-8%,-5%,-4%,-4%
600250,,2009-03-30,5.73,8.07,12.65,3.1,13.5,27.6%,181.81%,126.37%,-4%/3%(阴),-1%,-3%,-5%,-5%,-6%,-10%
600252,,2013-01-16,6.32,6.84,8.02,-0.72,7.02,21.58%,254.93%,136.84%,-1%/2%(阴),0%,0%,-1%,-1%,-2%,-2%
