股票代码,股票名称,D-0日期,D-1振幅,D-0振幅,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
300430,*ST益通,2026-01-06,10.09,13.75,239.92%,-12%/-2%(阴),-6%,-8%,-7%,-4%,-3%,-7%
300432,富临精工,2021-07-08,22.59,11.94,138.7%,-10%/0%(阳),4%,3%,5%,-4%,-4%,-5%
300437,清水源,2021-04-14,23.83,19.54,273.17%,-14%/-3%(阴),-12%,-15%,-16%,-19%,-20%,-18%
300437,清水源,2025-11-07,21.22,21.85,132.99%,8%/19%(板),41%,28%,28%,21%,36%,41%
300438,鹏辉能源,2024-08-22,20.48,10.26,243.84%,-8%/1%(阴),14%,12%,8%,15%(板),20%,22%
300446,航天智造,2020-10-27,13.63,11.89,147.74%,-6%/8%(阴),1%,-9%,-17%,-15%,-19%,-17%
300466,赛摩智能,2021-12-17,20.17,0.0,113.49%,-12%/5%(阴),-8%,-11%,-13%,-6%,-13%,-15%
300469,信息发展,2024-10-08,14.62,15.47,120.59%,-9%/4%(阴),-4%,-7%,-8%,4%,-1%,15%
300472,ST新元,2025-07-02,5.88,13.08,259.81%,-5%/12%(阴),20%,24%,11%,8%,18%,22%
300477,ST合纵,2024-04-02,19.64,17.88,309.56%,-7%/7%(阴),0%,2%,-3%,-10%,-8%,-19%
300489,光智科技,2023-07-05,7.14,13.26,204.37%,0%/14%(阴),9%,6%,-1%,-4%,-3%,-7%
300490,华自科技,2021-06-24,19.6,20.14,158.67%,-5%/14%(阳),11%,6%,0%,-3%,7%(板),29%(板)
300492,华图山鼎,2023-01-16,20.13,19.78,158.31%,1%/13%(阳),12%,5%,-8%,-6%,-2%,-3%
300493,润欣科技,2024-10-08,17.75,6.62,108.48%,-1%/20%(阳),19%,16%,26%(板),34%,13%,8%
300493,润欣科技,2024-12-12,12.03,3.56,72.52%,8%/19%(板),29%,20%,39%(板),42%,41%,33%
300500,启迪设计,2021-06-25,11.59,14.99,270.62%,1%/13%(阳),4%,18%,6%,16%(板),24%,13%
300508,维宏股份,2021-07-30,16.89,11.09,115.71%,8%/20%(板),42%,39%,35%,32%,35%,39%
300510,金冠股份,2024-09-11,21.18,19.48,219.58%,-7%/18%(阳),3%,-11%,-10%,-15%,-18%,-17%
300518,新迅达,2026-07-01,19.57,9.56,68.81%,-15%/0%(阴),-13%,-18%,-20%,-24%,-26%,-20%
300519,新光药业,2020-10-19,21.06,12.66,268.56%,-2%/9%(阴),6%,1%,-4%,-7%,-9%,-16%
300522,世名科技,2026-06-18,21.06,14.87,104.24%,-3%/19%(板),22%,33%,30%,21%,21%,26%
300530,领湃科技,2025-02-14,21.24,13.14,279.95%,0%/17%(阳),6%,1%,-1%,-2%,-3%,-5%
300538,同益股份,2020-11-09,18.67,8.99,202.18%,-10%/9%(阴),-11%,-16%,-19%,-21%,-22%,-17%
300542,新晨科技,2024-10-21,17.84,9.9,72.69%,-4%/17%(阴),5%,-6%,-6%,-7%,-8%,-11%
300549,优德精密,2023-06-29,24.2,13.82,148.05%,-8%/7%(阳),9%,21%,16%,13%,19%,14%
300550,和仁科技,2024-07-23,18.18,26.09,444.02%,-10%/2%(阴),-12%,-18%,-20%,-21%,-21%,-19%
300551,古鳌科技,2024-10-08,18.36,15.12,119.16%,-8%/14%(阳),11%,17%,13%,26%,8%,8%
300554,三超新材,2023-11-09,22.0,5.91,85.03%,-4%/20%(阳),21%,26%,34%,27%,23%,21%
300555,ST路通,2020-11-12,13.7,23.88,154.23%,-19%/0%(阴),-11%,-15%,-21%,-22%,-15%,-11%
300560,中富通,2022-03-17,22.89,16.59,188.52%,-13%/-6%(阴),-12%,-13%,-12%,-16%,-20%,-27%
300561,汇金科技,2024-09-25,24.62,13.68,172.77%,-11%/7%(阳),17%,31%(板),57%(板),83%,49%,31%
300581,晨曦航空,2025-05-08,16.05,20.33,176.4%,-1%/19%(阳),29%(板),34%,19%,23%,21%,19%
300582,英飞特,2020-10-23,21.65,14.08,337.29%,-2%/19%(板),29%,34%(板),34%,20%,13%,13%
300598,诚迈科技,2024-10-08,10.62,8.08,73.28%,0%/19%(阳),11%,7%,20%,25%,8%,16%
300600,国瑞科技,2025-06-26,20.77,11.36,76.2%,-4%/9%(阴),15%(板),25%,19%,11%,9%,13%
300612,宣亚国际,2021-12-14,0.0,0.0,64.25%,15%/19%(板),43%(板),68%,67%,67%,82%,65%
300617,安靠智电,2025-07-22,13.1,17.42,201.22%,-13%/1%(阴),-13%,-14%,-17%,-19%,-20%,-21%
300621,维业股份,2021-03-09,18.44,14.98,118.49%,-13%/6%(阴),0%,-1%,-2%,2%,10%,5%
300639,凯普生物,2026-01-27,18.71,14.07,329.61%,0%/15%(阳),3%,1%,-12%,-16%,-18%,-20%
300640,德艺文创,2021-11-15,19.89,22.39,202.28%,-12%/-1%(阴),-11%,-12%,-18%,-20%,-19%,-11%
300649,杭州园林,2021-06-15,16.16,15.0,295.69%,-6%/7%(阴),10%,7%,4%,6%,7%,8%
300660,江苏雷利,2022-06-20,21.59,19.13,157.06%,10%/19%(板),19%,17%,11%,16%,22%,19%
300675,建科院,2020-10-13,13.56,24.8,155.9%,-9%/7%(阴),-6%,-12%,-12%,-15%,-17%,-21%
300708,聚灿光电,2020-09-07,20.79,0.0,27.12%,0%/20%(板),42%,31%,30%,48%(板),63%,42%
300708,聚灿光电,2021-06-17,20.02,19.69,264.66%,6%/17%(阴),18%,11%,12%,11%,5%,3%
300719,安达维尔,2024-04-19,13.32,17.12,171.4%,-2%/13%(阳),22%,24%,26%,22%,13%,8%
300722,新余国科,2020-09-02,17.7,18.95,148.49%,-7%/8%(阴),1%,3%,-3%,11%(板),8%,-13%
300730,科创信息,2025-08-18,18.63,16.66,170.32%,-6%/4%(阴),-7%,8%,20%,15%,7%,3%
