股票代码,股票名称,D-0日期,D-0涨幅,D-0振幅,D-0最低价,D-0最高价,D-1振幅,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
301082,久盛电气,2023-04-10,2.71,12.36,-3.28,+9.07,13.64,182.59%,-4%/8%(阳),2%,4%,0%,0%,3%,6%
301082,久盛电气,2024-10-23,5.48,21.74,-6.04,+15.70,20.77,145.21%,-9%/-5%(阴),-4%,-7%,-6%,-10%,-10%,-13%
301082,久盛电气,2024-11-20,2.61,25.14,-8.53,+16.61,25.54,113.56%,-4%/20%(板),35%,17%,9%,-4%,-6%,-9%
301085,亚康股份,2023-06-06,16.7,16.08,+3.81,+19.89,19.53,333.55%,-7%/20%(板),34%,17%,17%,36%(板),40%,31%
301085,亚康股份,2026-02-11,-5.74,5.87,-7.31,-1.44,16.52,84.74%,0%/6%(阴),6%,-4%,-11%,-11%,-5%,-11%
301086,鸿富瀚,2024-05-24,6.3,10.17,+5.92,+16.09,21.36,201.96%,-12%/-5%(阴),-11%,-5%,-10%,-5%,-9%,-14%
301090,华润材料,2025-02-26,1.32,13.04,-5.86,+7.18,18.79,189.0%,-6%/-2%(阴),-4%,-8%,-11%,-11%,-9%,-9%
301091,深城交,2023-11-23,-8.46,9.69,-13.16,-3.47,21.52,104.7%,-10%/3%(阴),-4%,-2%,-4%,-14%,-12%,-13%
301093,华兰股份,2026-01-13,8.58,12.74,+1.42,+14.16,21.18,126.16%,-4%/14%(阳),9%,5%,13%,22%,22%,22%
301097,天益医疗,2025-10-28,5.83,11.71,-4.13,+7.59,14.53,110.44%,-8%/2%(阳),-1%,-4%,-6%,-6%,0%,-2%
301099,雅创电子,2026-03-17,2.08,7.68,-5.20,+2.47,20.94,96.14%,-1%/5%(阳),1%,-1%,-6%,-6%,-4%,-5%
301100,风光股份,2026-07-15,3.8,9.67,-2.73,+6.94,21.35,140.52%,-3%/2%(阳),1%,-7%,-10%,-11%,-14%,-15%
301101,明月镜片,2025-02-21,0.5,10.41,-2.57,+7.84,14.56,105.46%,-3%/1%(阳),16%,13%,16%,4%,-1%,3%
301118,恒光股份,2025-03-28,-3.11,15.84,-11.52,+4.32,11.08,152.38%,-9%/-4%(阴),6%,5%,4%,4%,7%,0%
301118,恒光股份,2025-06-16,4.6,21.54,-9.08,+12.46,21.34,153.26%,-7%/0%(阳),7%,3%,1%,-2%,-12%,-15%
301122,采纳股份,2025-11-03,1.32,4.77,-1.22,+3.55,20.54,150.49%,0%/9%(阳),5%,3%,0%,3%,1%,1%
301123,奕东电子,2025-07-09,3.08,13.76,-4.95,+8.81,20.92,175.69%,-7%/-2%(阴),-8%,-11%,-10%,-14%,-13%,-13%
301128,强瑞技术,2023-01-05,3.76,17.57,-1.23,+16.34,13.46,208.25%,-2%/7%(阴),0%,0%,-1%,-4%,-6%,-6%
301128,强瑞技术,2026-03-19,4.02,8.27,-2.91,+5.35,21.02,118.42%,-3%/4%(阴),-4%,-1%,6%,7%,6%,4%
301129,瑞纳智能,2024-11-25,9.3,13.14,-2.78,+10.36,18.74,197.41%,-16%/-6%(阴),-13%,-16%,-18%,-15%,-13%,-14%
301133,金钟股份,2023-06-13,2.59,9.36,+0.76,+10.11,19.78,196.57%,-6%/-1%(阴),-5%,-7%,-8%,-9%,-4%,-5%
301135,瑞德智能,2024-03-18,5.49,9.7,+1.27,+10.97,20.25,205.23%,-5%/-2%(阳),-4%,-5%,-9%,-10%,-14%,-14%
301137,哈焊华通,2025-09-26,2.53,11.02,-3.61,+7.41,15.76,152.67%,-6%/0%(阳),7%,23%(板),48%,58%,51%,33%
301138,华研精机,2025-05-23,11.45,21.57,-3.88,+17.69,22.77,146.22%,-11%/-5%(阴),0%,-4%,-9%,-10%,-17%,-17%
301141,中科磁业,2024-01-30,0.33,12.42,-5.39,+7.02,20.85,123.55%,-9%/9%(阳),1%,-4%,-16%,-26%,-12%(板),-6%
301148,嘉戎技术,2025-09-25,1.6,7.98,-1.53,+6.45,20.76,137.72%,-4%/-1%(阴),3%,3%,15%,12%,15%,14%
301148,嘉戎技术,2026-04-17,6.72,12.7,+0.00,+12.70,20.0,117.84%,-1%/7%(阳),6%,3%,9%,11%,12%,11%
301149,隆华新材,2022-06-27,3.43,8.27,+0.19,+8.47,19.86,226.62%,-1%/7%(阳),1%,-1%,-3%,-4%,-4%,-8%
301149,隆华新材,2024-08-23,0.76,15.77,-4.32,+11.45,20.6,178.49%,-6%/2%(阳),-1%,-3%,-4%,-4%,-3%,-5%
301151,冠龙节能,2026-06-08,8.01,18.5,-3.90,+14.60,20.09,208.25%,-3%/0%(阳),1%,1%,4%,-1%,5%,3%
301151,冠龙节能,2026-09-01,3.81,7.52,-2.70,+4.82,16.67,227.21%,-3%/4%(阳),5%,6%,3%,6%,5%,5%
301152,天力锂能,2024-06-27,-3.85,4.46,-4.65,-0.19,21.51,110.0%,-5%/-1%(阴),-6%,-3%,0%,-4%,-3%,0%
301159,三维天地,2022-10-17,1.63,10.13,-4.07,+6.06,20.69,199.27%,-5%/-2%(阳),-3%,-5%,-7%,-4%,-9%,-8%
301161,唯万密封,2023-02-14,12.59,7.64,+5.65,+13.28,20.67,195.42%,-9%/-2%(阴),-8%,-10%,-4%,-5%,-8%,-9%
301165,锐捷网络,2025-02-24,5.63,11.39,+0.20,+11.59,15.32,124.43%,-7%/-3%(阴),-2%,-5%,-11%,-16%,-18%,-13%
301165,锐捷网络,2026-07-01,6.8,8.95,+4.79,+13.74,17.53,205.44%,-3%/4%(阳),19%,25%,19%,27%,27%,33%
301166,优宁维,2022-11-30,8.78,6.25,+4.74,+10.99,21.49,174.97%,-10%/-2%(阴),3%,-2%,-6%,-8%,-4%,8%
301176,逸豪新材,2025-03-12,4.44,12.15,-4.72,+7.43,21.31,181.92%,-7%/-4%(阴),-2%,-1%,0%,-3%,-6%,-10%
301177,迪阿股份,2025-09-01,5.89,11.73,-1.77,+9.97,15.58,245.48%,-4%/0%(阴),9%,0%,-2%,2%,10%,4%
301180,万祥科技,2022-07-21,-4.35,3.39,-6.07,-2.68,19.58,136.68%,-4%/0%(阴),-3%,-5%,-4%,-1%,8%,2%
301181,标榜股份,2025-02-26,1.3,6.6,+0.48,+7.09,19.9,136.7%,-7%/-1%(阴),-6%,-9%,-10%,-4%,-4%,-4%
301183,东田微,2024-06-17,3.5,11.17,-4.57,+6.60,22.25,165.09%,-1%/9%(阳),4%,-2%,1%,0%,-5%,-5%
301185,鸥玛软件,2022-05-26,2.29,14.95,-5.94,+9.01,18.29,134.43%,-5%/0%(阴),-6%,-3%,-4%,-4%,3%,0%
301186,超达装备,2023-07-12,8.3,11.32,-0.06,+11.26,20.92,143.83%,-6%/-3%(阴),-7%,-14%,-17%,-18%,-18%,-20%
301187,欧圣电气,2025-01-09,-1.24,7.62,-7.39,+0.23,19.92,94.11%,-13%/-3%(阴),-10%,-10%,-6%,-6%,-9%,-4%
301188,力诺药包,2026-04-02,15.35,13.01,+6.80,+19.80,19.01,197.23%,-13%/-1%(阴),-7%,1%,7%,11%,7%,4%
301190,善水科技,2025-03-28,-1.3,16.41,-10.39,+6.02,20.52,116.77%,-9%/2%(阴),-2%,-5%,-2%,-7%,-15%,-16%
301191,菲菱科思,2025-03-17,5.42,9.57,+2.27,+11.84,24.92,140.19%,-1%/2%(阴),-1%,-6%,-11%,-14%,-13%,-15%
301196,唯科科技,2026-05-13,10.68,14.82,-3.07,+11.75,20.18,94.38%,-4%/4%(阴),-2%,-8%,-9%,-9%,-9%,-12%
301196,唯科科技,2026-06-16,4.85,6.24,+1.68,+7.92,17.94,123.23%,-7%/-1%(阴),0%,6%,1%,-25%,-24%,-30%
301199,迈赫股份,2026-07-06,3.2,7.8,-3.10,+4.70,18.95,117.41%,-7%/-1%(阴),-6%,-7%,-7%,-10%,-15%,-13%
301205,联特科技,2023-11-22,8.79,26.28,-6.93,+19.35,18.28,187.54%,-5%/4%(阳),6%,16%,14%,11%,22%,28%
301205,联特科技,2026-03-09,6.78,14.31,-4.93,+9.37,22.41,126.76%,1%/6%(阴),-1%,-8%,-10%,-9%,-10%,-14%
301207,华兰疫苗,2026-01-27,11.61,17.01,+2.44,+19.45,15.78,236.58%,-7%/-3%(阳),-9%,-11%,-15%,-17%,-17%,-10%
301208,中亦科技,2025-07-08,-1.8,9.78,-8.02,+1.76,20.64,103.04%,1%/10%(阳),1%,4%,0%,-3%,-6%,-6%
301209,联合化学,2025-04-15,9.73,16.55,-0.60,+15.95,20.6,170.62%,-5%/-1%(阴),9%,6%,8%,9%,13%,33%
301209,联合化学,2025-09-25,9.19,12.68,+2.26,+14.94,21.15,163.42%,-5%/0%(阴),-3%,3%,13%,16%,13%,15%
301210,金杨精密,2024-09-30,15.95,16.79,+0.00,+16.79,19.36,223.26%,-3%/18%(阴),1%,-8%,-11%,-14%,-12%,-14%
301211,亨迪药业,2023-05-17,3.73,9.8,-3.51,+6.30,20.83,122.26%,-5%/-3%(阳),2%,-4%,4%,1%,-4%,-4%
301212,联盛化学,2025-04-29,-2.96,13.87,-5.93,+7.94,23.92,151.23%,-7%/0%(阴),-1%,13%,16%,8%,2%,20%
301213,观想科技,2024-07-16,-0.1,11.97,-6.39,+5.58,18.49,236.75%,-4%/10%(阳),4%,6%,3%,1%,0%,2%
301213,观想科技,2026-03-03,3.22,14.26,-4.54,+9.72,9.99,227.78%,-13%/5%(阳),-2%,-6%,-7%,-11%,-11%,-17%
301222,浙江恒威,2024-11-11,3.3,11.66,-5.23,+6.43,21.3,173.08%,-8%/-2%(阴),-7%,-8%,-9%,-10%,-14%,-13%
301225,恒勃股份,2025-12-30,11.95,18.12,-1.43,+16.69,23.26,148.92%,-6%/11%(阳),5%,0%,-1%,-3%,-2%,-1%
301231,荣信文化,2023-04-13,9.4,25.57,-6.96,+18.61,18.15,124.43%,-7%/7%(阴),-8%,-12%,-9%,-12%,-13%,-17%
301235,华康洁净,2025-07-31,6.06,12.81,-4.55,+8.26,12.73,124.46%,-9%/-5%(阴),-10%,-11%,-11%,-11%,-8%,-5%
301237,和顺科技,2024-03-21,6.0,16.77,-4.84,+11.93,18.41,239.81%,-7%/-5%(阳),-7%,-6%,-12%,-16%,-15%,-13%
301237,和顺科技,2025-12-30,5.61,9.15,-0.65,+8.50,18.18,181.2%,-8%/-1%(阴),-8%,-12%,-11%,-4%,1%,5%
301237,和顺科技,2026-04-20,-2.39,5.89,-7.08,-1.19,21.24,112.64%,-3%/2%(阴),-1%,16%,5%,-2%,3%,2%
301252,同星科技,2024-12-26,5.52,12.81,-4.67,+8.14,20.97,179.84%,-7%/-3%(阳),1%,-2%,-8%,-7%,1%,0%
301257,普蕊斯,2023-04-28,5.68,8.82,-1.23,+7.59,13.06,142.3%,-5%/-3%(阳),-4%,-8%,-13%,-13%,-11%,-15%
301257,普蕊斯,2025-09-01,8.59,13.78,-1.24,+12.54,8.54,213.15%,-4%/0%(阴),2%,5%,8%,5%,3%,9%
301259,艾布鲁,2024-10-18,3.15,9.95,-2.67,+7.28,19.38,96.11%,-3%/6%(阳),11%,8%,8%,13%,28%,26%
301260,格力博,2025-05-19,5.22,10.39,-2.44,+7.95,23.42,145.8%,-6%/17%(阳),18%,6%,-1%,-3%,15%(板),21%
301262,海看股份,2023-08-09,-4.33,4.19,-6.91,-2.72,21.14,117.44%,-3%/6%(阳),4%,3%,0%,-1%,-2%,3%
301262,海看股份,2026-09-01,-3.72,5.37,-5.06,+0.31,16.93,99.22%,-3%/0%(阴),0%,1%,-2%,-1%,-4%,-5%
301265,华新科技,2026-03-09,2.73,8.99,-4.04,+4.95,21.7,109.15%,-2%/5%(阳),15%,13%,6%,7%,8%,11%
301292,海科新源,2024-09-05,3.7,18.58,-2.47,+16.11,20.64,197.47%,-8%/-4%(阴),-11%,-13%,-10%,-13%,-16%,-20%
301296,新巨丰,2024-11-21,7.32,12.81,-3.02,+9.79,18.55,153.6%,-10%/-4%(阴),-10%,-11%,-16%,-15%,-15%,-15%
301299,卓创资讯,2022-12-16,-3.63,6.61,-9.38,-2.76,20.5,85.47%,-2%/5%(阳),7%,-3%,-2%,4%,4%,4%
301299,卓创资讯,2023-06-19,9.82,21.38,-5.61,+15.77,20.44,191.03%,-3%/5%(阳),-2%,-8%,-13%,-15%,-18%,-18%
301299,卓创资讯,2025-02-05,6.71,18.71,+1.15,+19.86,7.61,121.68%,-12%/4%(阳),5%,6%,3%,-2%,-2%,-3%
301306,西测测试,2025-02-06,4.39,9.41,-1.37,+8.04,16.27,165.87%,-2%/7%(阳),10%,11%,10%,7%,7%,19%
301306,西测测试,2025-06-06,11.06,14.72,+2.40,+17.12,21.53,192.15%,-8%/-3%(阳),5%,3%,1%,1%,-2%,-4%
301307,美利信,2026-06-30,8.36,9.79,+4.17,+13.96,18.07,120.36%,-3%/3%(阴),13%,15%,19%,23%,18%,30%
301312,智立方,2026-05-25,9.4,8.83,+2.03,+10.86,18.7,106.25%,-8%/3%(阴),-3%,-9%,-5%,-14%,-10%,-35%
301313,凡拓数创,2023-06-06,5.85,18.55,-4.54,+14.01,19.31,144.52%,-7%/16%(阳),13%,4%,-1%,0%,2%,0%
301313,凡拓数创,2026-06-09,9.54,15.36,-2.95,+12.41,20.24,139.68%,-3%/9%(阳),-1%,1%,-5%,-3%,-3%,0%
301315,威士顿,2024-12-30,16.65,22.94,-2.95,+19.99,21.4,128.34%,-11%/-5%(阴),-12%,-16%,-22%,-19%,-20%,-12%
301315,威士顿,2026-08-13,-3.42,10.51,-5.55,+4.96,14.97,169.43%,-3%/1%(阴),-3%,-4%,-7%,-10%,-8%,-9%
301317,鑫磊股份,2025-05-09,19.82,9.12,+10.88,+20.01,20.49,261.52%,-12%/-3%(阳),16%(板),39%,31%,23%,17%,12%
301319,唯特偶,2025-09-23,6.23,10.17,-0.67,+9.51,19.73,123.77%,-2%/6%(阳),8%,11%,8%,9%,6%,2%
301321,翰博高新,2024-10-08,16.17,23.89,-4.09,+19.81,17.71,207.21%,-19%/-8%(阴),-11%,-15%,-17%,-15%,-20%,-17%
301321,翰博高新,2026-07-09,5.86,11.42,-3.63,+7.79,25.49,151.37%,-9%/7%(阴),-6%,-10%,-10%,-15%,-19%,-24%
301323,新莱福,2026-06-15,4.84,13.84,-7.98,+5.86,19.69,150.38%,-4%/0%(阳),-1%,-4%,-7%,-8%,-14%,-17%
301325,曼恩斯特,2024-11-12,15.72,12.25,+7.75,+19.99,21.43,203.92%,-2%/8%(阳),2%,-8%,-12%,-17%,-10%,-5%
301333,诺思格,2025-10-30,3.52,9.4,+0.11,+9.51,18.26,103.47%,1%/12%(阳),12%,7%,5%,2%,2%,-1%
301333,诺思格,2026-01-14,19.25,21.65,-1.65,+20.01,19.38,277.5%,-18%/-8%(阴),-16%,-20%,-21%,-21%,-23%,-19%
301336,趣睡科技,2025-02-21,8.63,22.01,-4.97,+17.04,22.61,145.13%,-10%/20%(阳),12%,9%,2%,8%,17%,15%
301357,北方长龙,2023-07-28,-1.86,4.87,-3.88,+0.99,19.62,119.31%,-3%/3%(阳),1%,-3%,-4%,-8%,-11%,-10%
301357,北方长龙,2024-07-01,-4.58,4.93,-7.06,-2.14,14.39,80.44%,0%/16%(阳),9%,5%,2%,-1%,-10%,-8%
301365,矩阵股份,2025-10-16,-0.04,11.35,-5.91,+5.44,20.96,139.16%,-1%/18%(阳),16%,21%,17%,10%,8%,4%
301368,丰立智能,2025-02-20,1.98,8.77,+0.00,+8.77,18.87,107.56%,-3%/1%(阳),1%,3%,5%,13%,2%,7%
301369,联动科技,2023-04-17,19.53,17.73,+2.27,+20.00,17.17,168.06%,-9%/-5%(阴),-3%,-38%,-41%,-48%,-54%,-59%
301373,凌玮科技,2026-02-26,9.35,16.36,-3.64,+12.72,18.03,140.29%,-4%/0%(阳),-5%,-12%,2%(板),22%,40%,44%
301373,凌玮科技,2026-06-16,7.57,12.8,-0.62,+12.18,19.57,102.42%,2%/19%(阳),15%,19%,9%,8%,13%,5%
301377,鼎泰高科,2025-08-25,7.7,8.35,+2.85,+11.20,19.52,126.1%,-1%/5%(阳),3%,6%,4%,9%,8%,3%
301378,通达海,2025-07-10,-3.35,7.88,-5.52,+2.36,20.74,136.07%,-6%/-1%(阳),-2%,-7%,-9%,-9%,-3%,-7%
301380,挖金客,2026-01-05,3.12,11.77,-5.95,+5.82,19.68,136.86%,-5%/-3%(阳),2%,5%,8%,17%,13%,14%
301382,蜂助手,2025-02-25,16.5,14.02,+5.98,+20.00,25.04,196.2%,-5%/14%(阴),12%,11%,7%,9%,12%,19%
301389,隆扬电子,2025-07-07,1.54,10.84,-3.01,+7.83,20.38,136.68%,0%/9%(阳),23%,19%,7%,6%,3%,1%
301395,仁信新材,2024-04-26,-1.78,12.4,-8.09,+4.31,12.4,156.76%,-4%/-1%(阳),4%,7%,5%,5%,3%,3%
301396,宏景科技,2026-01-28,7.04,11.69,-2.14,+9.55,20.21,112.41%,-5%/6%(阳),10%,4%,1%,-3%,-15%,-9%
301398,星源卓镁,2025-06-25,4.53,7.34,-2.76,+4.58,18.35,126.69%,-6%/-3%(阳),-1%,-6%,-2%,-2%,-2%,5%
301399,英特科技,2024-11-20,4.03,8.44,+0.82,+9.26,19.7,165.76%,-1%/14%(阳),8%,2%,-2%,-8%,-6%,-4%
301399,英特科技,2026-08-28,4.38,13.37,-6.40,+6.97,21.58,141.33%,-5%/5%(阳),3%,1%,-1%,-2%,-7%,-6%
301408,华人健康,2025-06-30,4.61,13.82,-6.88,+6.95,20.71,122.03%,-4%/8%(阳),0%,-5%,-3%,0%,-2%,-4%
301419,阿莱德,2026-08-17,10.45,9.91,+5.10,+15.02,13.14,183.61%,-6%/2%(阴),-6%,2%,-2%,8%,1%,-8%
301429,森泰股份,2023-08-14,-7.25,8.61,-10.41,-1.80,15.02,78.92%,-6%/3%(阴),0%,0%,-2%,2%,-1%,-2%
